Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
GO:0044255	GO:0044255	cellular lipid metabolic process	862	27	3.33193502984072e-08	1.17556725916471e-05	Prdx6,Fam213b,Ttc7b,Acsm3,Fads3,Gpd1,Insig1,Hadhb,Pon1,Lep,Rarres2,Smpd1,Mgll,Hsd17b4,Degs1,Pla2g12a,Dgat2,Pi4k2a,Lpgat1,Auh,Psap,Prkar2b,Mboat2,Gm2a,Dhrs4,Lipa,Fitm1
GO:0044711	GO:0044711	single-organism biosynthetic process	1174	32	4.19052675875629e-08	1.35528619589443e-05	Fam213b,Plod3,Acsm3,Fads3,Gpd1,Insig1,Creb1,Idh2,Lep,Nln,Smpd1,Mgll,Mpc2,Degs1,Dgat2,Tpi1,Tph2,Pi4k2a,Lpgat1,Serpinh1,Hprt,Impdh1,Mboat2,Slc5a7,Pgd,Npr3,Prdx5,Hsd17b12,Fitm1,G6pdx,Pltp,Atp5d
GO:0006796	GO:0006796	phosphate-containing compound metabolic process	2821	55	4.77901888404156e-08	1.42672094530502e-05	Sytl2,Prdx6,Oxtr,Tspyl2,Anxa2,Ttc7b,Gmpr,Adora1,Unc119,Gpd1,Cdkl4,Creb1,Pon1,Idh2,Fam20c,Lep,Ppp2r2c,Rarres2,Smpd1,Mpc2,Gmpr2,Zmynd11,Pla2g12a,Prkcdbp,Tpi1,Chp1,Pi4k2a,Adam8,Lpgat1,Fgf13,Pfkl,Hprt,Fgf12,Itgb2,Impdh1,Hfe,Psap,Prkar2b,Mboat2,Bcar3,Pgd,Irak2,Cdkn2d,Atp6v1b2,Npr3,Ret,Prdx5,Fmr1,Srpx2,Fitm1,Chek2,G6pdx,Mmd,Bdnf,Atp5d
GO:0044707	GO:0044707	single-multicellular organism process	5997	91	9.60315801935181e-08	2.50665436032541e-05	Oxtr,Cdsn,Anxa2,Plod3,Sorbs2,Sox6,Htra1,Murc,Adora1,Unc119,Angptl4,Insig1,Rspo3,Sncg,Creb1,Brinp1,Idh2,Lep,Fam20c,Stmn4,Rarres2,Nln,B2m,Mgll,Col4a2,Mir7-1,Hsd17b4,Crtac1,Birc2,F7,Adap2,Gmpr2,C6,Dgat2,Ctsb,Cstb,Prkcdbp,Tpi1,Serpine1,Adam8,Slc38a10,Serpinh1,Tfrc,Fgf13,Mycbp2,Otoa,Sez6l,Hprt,Fgf12,Itgb2,Hfe,Psap,Olfm1,Ctsz,Trp53inp2,Cela1,Prkar2b,Comt,Gpihbp1,Bcar3,Dnmt3l,Fam213a,Pkp2,Npr3,Dbp,Gm2a,Ctsl,Ccr2,Lgals3,Cib2,Azi2,Ret,Pappa2,Lgals1,Prdx5,Lipa,Vwc2,Fmr1,Col4a1,Srpx2,S100a8,Sema5a,Col19a1,G6pdx,Pltp,Slc5a3,Ltbp3,Mmd,Bdnf,Tmem135,Sytl2
GO:0071704	GO:0071704	organic substance metabolic process	9785	129	9.68817712055685e-08	2.50665436032541e-05	Ctsd,Tspyl2,Prdx6,Oxtr,Fam213b,Anxa2,Plod3,Sox6,Ttc7b,Acsm3,Htra1,Murc,Gmpr,Hadhb,Fads3,Marc1,Adora1,Unc119,Gpd1,Cdkl4,Angptl4,Insig1,Itih5,Creb1,Asf1b,Pon1,Idh2,Lep,Fam20c,Ppp2r2c,Rarres2,Nln,Smpd1,Col4a2,Mgll,Dscc1,Mpc2,Mir7-1,Hsd17b4,Birc2,F7,Iscu,Gmpr2,Zmynd11,C6,Degs1,Pla2g12a,Dgat2,Adamts4,Ctsb,Pcyox1,Sfpq,Cstb,Prkcdbp,Tpi1,Chp1,Serpine1,Pi4k2a,Tph2,Wdr55,Rbm28,Adam8,Lpgat1,Serpinh1,Gusb,Tfrc,Fgf13,Pfkl,Mycbp2,Mmp12,Glrx5,Hprt,Fgf12,Itgb2,Auh,2010111I01Rik,Bcap31,Impdh1,Hfe,Psap,Olfm1,Ctsz,Trp53inp2,Cela1,Prkar2b,Serpina3n,Comt,Mboat2,Dhx32,Bcar3,Dnmt3l,Slc5a7,Lipf,Npc2,Gar1,Pgd,Irak2,Cdkn2d,Atp6v1b2,Ppic,Npr3,Dbp,Gm2a,Ctsl,Ccr2,Pcf11,Eif1a,Hnrnpm,Lgals3,Dhrs4,Ret,Pappa2,Hsd17b12,Prdx5,Lipa,Fmr1,Vwc2,S100a8,Fitm1,Dap,Chek2,G6pdx,Pltp,Slc5a3,Tmem135,Mmd,Bdnf,Stambpl1,Atp5d
GO:0044237	GO:0044237	cellular metabolic process	9150	122	1.93697863644975e-07	4.69838380503842e-05	Ctsd,Tspyl2,Prdx6,Oxtr,Fam213b,Anxa2,Plod3,Sox6,Ttc7b,Sod3,Acsm3,Htra1,Murc,Gmpr,Hadhb,Fads3,Adora1,Marc1,Unc119,Gpd1,Cdkl4,Insig1,Itih5,Creb1,Pon1,Idh2,Asf1b,Lep,Fam20c,Ppp2r2c,Rarres2,Nln,Smpd1,Mgll,Col4a2,Dscc1,Mpc2,Mir7-1,Hsd17b4,Birc2,Iscu,Gmpr2,Zmynd11,C6,Degs1,Pla2g12a,Dgat2,Ctsb,Pcyox1,Sfpq,Cstb,Prkcdbp,Tpi1,Chp1,Serpine1,Tph2,Pi4k2a,Wdr55,Pon2,Rbm28,Adam8,Lpgat1,Tfrc,Fgf13,Pfkl,Mycbp2,Mmp12,Glrx5,Hprt,Fgf12,Itgb2,Auh,2010111I01Rik,Impdh1,Bcap31,Hfe,Psap,Olfm1,Ctsz,Trp53inp2,Cela1,Prkar2b,Serpina3n,Comt,Mboat2,Dhx32,Bcar3,Dnmt3l,Slc5a7,Gar1,Pgd,Irak2,Cdkn2d,Atp6v1b2,Ppic,Npr3,Dbp,Gm2a,Ctsl,Ccr2,Pcf11,Eif1a,Hnrnpm,Lgals3,Dhrs4,Ret,Prdx5,Lipa,Vwc2,Fmr1,Srpx2,S100a8,Fitm1,Dap,Chek2,G6pdx,Pltp,Slc5a3,Mmd,Bdnf,Atp5d,Sytl2
GO:1902578	GO:1902578	single-organism localization	2717	52	2.25218975257675e-07	5.14161672338256e-05	Sytl2,Plin2,Oxtr,Anxa2,Ttc7b,Slc48a1,Adora1,Unc119,Insig1,Creb1,Sncg,Pon1,Idh2,Lep,Rarres2,Mpc2,Il13ra2,Pla2g12a,Pex16,Chp1,Pi4k2a,Kcnj14,Appl1,Slc38a10,Tfrc,Rtn2,Pfkl,Fgf13,Mmp12,Itgb2,Hfe,Psap,Comt,Pdia6,Gpihbp1,Npc2,Pkp2,Atp6v1b2,Npr3,Ccr2,Atp9a,Hnrnpm,Lgals3,Fmr1,Slc25a19,S100a8,Sema5a,Pltp,Slc5a3,Slc25a10,Bdnf,Atp5d
GO:1900122	GO:1900122	positive regulation of receptor binding	7	4	2.44105608804759e-07	5.26318815428483e-05	Anxa2,B2m,Hfe,Bdnf
GO:1901575	GO:1901575	organic substance catabolic process	1556	36	3.21565086244533e-07	6.31450651433824e-05	Prdx6,Ctsd,Anxa2,Hadhb,Adora1,Gpd1,Pon1,Lep,Rarres2,Smpd1,Mgll,Hsd17b4,Gmpr2,Birc2,Pla2g12a,Ctsb,Pcyox1,Tpi1,Adam8,Pfkl,Mycbp2,Hprt,Auh,Hfe,2010111I01Rik,Bcap31,Ctsz,Cela1,Comt,Trp53inp2,Lipf,Gm2a,Ctsl,Lipa,Fmr1,Chek2
GO:0006811	GO:0006811	ion transport	1420	34	3.27839525285149e-07	6.31450651433824e-05	Bdnf,Plin2,Adora1,Sncg,Lep,B2m,Mpc2,Cacng1,Pla2g12a,Pcyox1,Chp1,Serpine1,Kcnj14,Ano10,Slc38a10,Tfrc,Fgf13,Anxa6,Fgf12,Hfe,Psap,Hephl1,Slc5a7,Cldn15,Atp6v1b2,Atp9a,Lgals3,Cnnm2,Fmr1,Slc25a19,G6pdx,Slc5a3,Slc25a10,Atp5d
GO:0032787	GO:0032787	monocarboxylic acid metabolic process	513	19	3.41676466892819e-07	6.31450651433824e-05	Fam213b,Acsm3,Gpd1,Fads3,Insig1,Hadhb,Lep,Idh2,Mpc2,Hsd17b4,Degs1,Mgll,Dgat2,Tpi1,Pfkl,Auh,Prkar2b,Pgd,Lipa
GO:0009056	GO:0009056	catabolic process	1855	40	4.01597094852416e-07	7.08453784146466e-05	Ctsd,Prdx6,Anxa2,Hadhb,Adora1,Gpd1,Pon1,Lep,Rarres2,Smpd1,Mgll,Hsd17b4,Birc2,Gmpr2,Pla2g12a,Ctsb,Pcyox1,Tpi1,Pon2,Adam8,Pfkl,Mycbp2,Hprt,Auh,2010111I01Rik,Hfe,Bcap31,Ctsz,Cela1,Trp53inp2,Comt,Lipf,Gm2a,Ctsl,Prdx5,Lipa,Fmr1,S100a8,Dap,Chek2
GO:0010876	GO:0010876	lipid localization	327	15	4.37270598589228e-07	7.37846605706432e-05	Plin2,Anxa2,Pon1,Lep,Pla2g12a,Dgat2,Psap,Gpihbp1,Npc2,Mest,Gm2a,Atp9a,Fitm1,Pltp,Tmem135
GO:0043436	GO:0043436	oxoacid metabolic process	862	25	4.71276773580712e-07	7.39696393766116e-05	Fam213b,Plod3,Acsm3,Fads3,Marc1,Gpd1,Insig1,Hadhb,Pon1,Lep,Idh2,Mgll,Mpc2,Hsd17b4,Degs1,Dgat2,Pcyox1,Tpi1,Tph2,Pfkl,Auh,Prkar2b,Comt,Pgd,Lipa
GO:0019752	GO:0019752	carboxylic acid metabolic process	803	24	4.76485695546326e-07	7.39696393766116e-05	Fam213b,Plod3,Acsm3,Fads3,Gpd1,Insig1,Hadhb,Pon1,Lep,Idh2,Mgll,Mpc2,Hsd17b4,Degs1,Dgat2,Pcyox1,Tpi1,Tph2,Pfkl,Auh,Prkar2b,Comt,Pgd,Lipa
GO:0051234	GO:0051234	establishment of localization	4470	72	5.08854363475918e-07	7.59562994096168e-05	Sytl2,Plin2,Oxtr,Anxa2,Ttc7b,Slc48a1,Adora1,Unc119,Fads3,Insig1,Creb1,Sncg,Pon1,Idh2,Lep,Rarres2,B2m,Mpc2,Cacng1,Il13ra2,Pla2g12a,Cyb5b,Pcyox1,Pex16,Tmed5,Chp1,Serpine1,Ano10,Pi4k2a,Kcnj14,Appl1,Ndufa4,Slc38a10,Tfrc,Rtn2,Pfkl,Fgf13,Mmp12,Anxa6,Fgf12,Itgb2,Bcap31,Hfe,Psap,Itgax,Comt,Pdia6,Hephl1,Gpihbp1,Slc5a7,Npc2,Pkp2,Cldn15,Atp6v1b2,Npr3,Ccr2,Nup210,Atp9a,Hnrnpm,Lgals3,Cnnm2,Fmr1,Slc25a19,S100a8,Synpr,Sema5a,G6pdx,Pltp,Slc5a3,Slc25a10,Bdnf,Atp5d
GO:0044765	GO:0044765	single-organism transport	2566	49	5.96194365898774e-07	7.99879594687219e-05	Sytl2,Plin2,Oxtr,Anxa2,Slc48a1,Adora1,Unc119,Insig1,Creb1,Sncg,Pon1,Idh2,Lep,Rarres2,Mpc2,Il13ra2,Pla2g12a,Pex16,Chp1,Pi4k2a,Kcnj14,Appl1,Slc38a10,Tfrc,Rtn2,Pfkl,Mmp12,Itgb2,Hfe,Psap,Comt,Pdia6,Gpihbp1,Npc2,Atp6v1b2,Npr3,Ccr2,Atp9a,Hnrnpm,Lgals3,Fmr1,Slc25a19,S100a8,Sema5a,Pltp,Slc5a3,Slc25a10,Bdnf,Atp5d
GO:0006810	GO:0006810	transport	4313	70	5.99844156869277e-07	7.99879594687219e-05	Sytl2,Plin2,Oxtr,Anxa2,Slc48a1,Adora1,Unc119,Fads3,Insig1,Creb1,Sncg,Pon1,Idh2,Lep,Rarres2,B2m,Mpc2,Cacng1,Il13ra2,Pla2g12a,Cyb5b,Pcyox1,Pex16,Tmed5,Chp1,Serpine1,Ano10,Pi4k2a,Kcnj14,Appl1,Ndufa4,Slc38a10,Tfrc,Rtn2,Pfkl,Fgf13,Mmp12,Anxa6,Fgf12,Itgb2,Bcap31,Hfe,Psap,Itgax,Comt,Pdia6,Hephl1,Gpihbp1,Slc5a7,Npc2,Cldn15,Atp6v1b2,Npr3,Ccr2,Nup210,Atp9a,Hnrnpm,Lgals3,Cnnm2,Fmr1,Slc25a19,S100a8,Synpr,Sema5a,G6pdx,Pltp,Slc5a3,Slc25a10,Bdnf,Atp5d
GO:0006082	GO:0006082	organic acid metabolic process	874	25	6.07257648327175e-07	7.99879594687219e-05	Fam213b,Plod3,Acsm3,Fads3,Marc1,Gpd1,Insig1,Hadhb,Pon1,Lep,Idh2,Mgll,Mpc2,Hsd17b4,Degs1,Dgat2,Pcyox1,Tpi1,Tph2,Pfkl,Auh,Prkar2b,Comt,Pgd,Lipa
GO:0019637	GO:0019637	organophosphate metabolic process	936	26	6.18304247374815e-07	7.99879594687219e-05	Prdx6,Ttc7b,Gmpr,Gpd1,Pon1,Fam20c,Idh2,Smpd1,Mpc2,Gmpr2,Pla2g12a,Tpi1,Pi4k2a,Lpgat1,Pfkl,Hprt,Impdh1,Mboat2,Pgd,Atp6v1b2,Npr3,Prdx5,Fitm1,G6pdx,Bdnf,Atp5d
GO:0048731	GO:0048731	system development	4414	71	6.74096817132462e-07	8.43925724932609e-05	Oxtr,Cdsn,Anxa2,Plod3,Sorbs2,Sox6,Htra1,Murc,Unc119,Angptl4,Insig1,Rspo3,Creb1,Brinp1,Idh2,Fam20c,Lep,Stmn4,Rarres2,Nln,B2m,Mgll,Col4a2,Mir7-1,Hsd17b4,Crtac1,Birc2,Adap2,Gmpr2,C6,Dgat2,Ctsb,Serpine1,Adam8,Slc38a10,Serpinh1,Tfrc,Fgf13,Mycbp2,Sez6l,Hprt,Itgb2,Psap,Olfm1,Ctsz,Cela1,Bcar3,Dnmt3l,Fam213a,Pkp2,Npr3,Ctsl,Ccr2,Lgals3,Azi2,Ret,Pappa2,Lgals1,Lipa,Vwc2,Col4a1,Fmr1,Srpx2,S100a8,Sema5a,Col19a1,G6pdx,Slc5a3,Ltbp3,Mmd,Bdnf
GO:0032879	GO:0032879	regulation of localization	2516	48	8.24661351332902e-07	0.000100015959516343	Oxtr,Sytl2,Anxa2,Adora1,Unc119,Insig1,Creb1,Sncg,Pon1,Lep,Idh2,Rarres2,B2m,Mpc2,Cacng1,F7,Il13ra2,Chp1,Serpine1,Kcnj14,Appl1,Adam8,Rtn2,Pfkl,Mycbp2,Fgf13,Fgf12,Hfe,Bcap31,Olfm1,Itgax,Trp53inp2,Comt,Mest,Pkp2,Ccr2,Hnrnpm,Lgals3,Ret,Fmr1,Srpx2,S100a8,Fitm1,Sema5a,G6pdx,Pltp,Mmd,Tmem135
GO:1900120	GO:1900120	regulation of receptor binding	21	5	1.1676445405587e-06	0.000137322074603282	Anxa2,B2m,Crtac1,Hfe,Bdnf
GO:0016042	GO:0016042	lipid catabolic process	267	13	1.35059506196249e-06	0.0001541664539846	Prdx6,Adora1,Hadhb,Lep,Rarres2,Mgll,Hsd17b4,Pla2g12a,Smpd1,Auh,Lipf,Gm2a,Lipa
GO:0044712	GO:0044712	single-organism catabolic process	744	22	1.75514289820606e-06	0.000194620273941078	Prdx6,Adora1,Gpd1,Hadhb,Pon1,Lep,Rarres2,Mgll,Gmpr2,Hsd17b4,Pla2g12a,Ctsb,Pcyox1,Smpd1,Tpi1,Pfkl,Hprt,Auh,Bcap31,Lipf,Gm2a,Lipa
GO:0019915	GO:0019915	lipid storage	66	7	2.58221769156982e-06	0.000278377412805069	Plin2,Lep,Dgat2,Mest,Gm2a,Fitm1,Tmem135
GO:0065008	GO:0065008	regulation of biological quality	3362	56	5.85759219724639e-06	0.000614413927500358	Prdx6,Plin2,Oxtr,Anxa2,Plod3,Sox6,Adora1,Angptl4,Creb1,Sncg,Lep,B2m,Mgll,Mpc2,Hsd17b4,F7,Iscu,Dgat2,Chp1,Serpine1,Adam8,Tfrc,Fgf13,Pfkl,Anxa6,Glrx5,Fgf12,Bcap31,Hfe,Olfm1,Trp53inp2,Comt,Pdia6,Gpihbp1,Slc5a7,Npc2,Mest,Pkp2,Npr3,Gm2a,Ccr2,Cib2,Ret,Cnnm2,Prdx5,Lipa,Fmr1,Srpx2,Fitm1,Sema5a,Chek2,G6pdx,Ltbp3,Bdnf,Tmem135,Sytl2
