"AnnotationCluster"	"EnrichmentScore"	"filteredClusterSize"	"Term"	"Annotated_GO 1"	"Significant_GO 1"	"Pvalue_GO 1"	"Padj_GO 1"	"GeneID_GO 1"	"Annotated_GO 2"	"Significant_GO 2"	"Pvalue_GO 2"	"Padj_GO 2"	"GeneID_GO 2"	"Annotated_KEGG 1"	"Significant_KEGG 1"	"Pvalue_KEGG 1"	"Padj_KEGG 1"	"GeneID_KEGG 1"	"GeneID"	"Annot"	"Pvalue"	"Padj"	"Cluster"
"GO:0038063"	18	3.73377700028328	2	"collagen-activated tyrosine kinase receptor signaling pathway"	NA	NA	NA	NA	NA	11	3	0.000141223272064736	0.00650184511782253	"Col4a2,Col1a1,Col4a1"	NA	NA	NA	NA	NA	"Col4a2,Col1a1,Col4a1"	"GO:0038063"	0.000141223272064736	0.00650184511782253	"GO:0038063,GO:0038065"
"GO:0016128"	12	3.55213247832869	2	"phytosteroid metabolic process"	NA	NA	NA	NA	NA	3	2	0.000280457799162208	0.0108544713572908	"Dhcr7,Fdft1"	NA	NA	NA	NA	NA	"Dhcr7,Fdft1"	"GO:0016128"	0.000280457799162208	0.0108544713572908	"GO:0016128,GO:0016129"
"GO:0016129"	20	3.55213247832869	2	"phytosteroid biosynthetic process"	NA	NA	NA	NA	NA	3	2	0.000280457799162208	0.0108544713572908	"Dhcr7,Fdft1"	NA	NA	NA	NA	NA	"Dhcr7,Fdft1"	"GO:0016129"	0.000280457799162208	0.0108544713572908	"GO:0016129,GO:0016128"
"GO:0048856"	16	3.47983622785903	2	"anatomical structure development"	NA	NA	NA	NA	NA	5488	78	0.000132033369563103	0.00615979680135061	"Vat1,Slc39a13,Cd24a,Dhcr7,Per2,Clec5a,Col1a2,Sptb,Dhcr24,Tef,Hspa5,Murc,Angptl4,Gna12,Insig1,Arhgef10,Mal,Brinp1,Arhgap24,Epyc,Leo1,Rgcc,Srd5a1,Lox,Col4a2,Klf15,Drp2,Cacna1s,Chd5,Col1a1,Tsc22d3,Sgk1,Spag9,Cyb5d2,Pmp22,Myo10,Nav1,Atxn1,Fdps,Dhrs3,Fscn1,Nsdhl,Paqr8,Mpz,Xbp1,Cxcl12,Trp53,Emp2,Tet3,Lrrc8a,Adipor1,Adcy1,Serpine2,Syna,Hsf4,Ikbkb,Klf13,Col14a1,Sparc,Hif3a,Arid5b,Cd63,Plxnd1,Fa2h,Dbp,Hmgcr,Mtmr2,Cdh3,Mbp,Ppp1r16b,Id4,Prex2,Col4a1,Sema5a,Aacs,Manf,Ugt8a,Tacc1"	NA	NA	NA	NA	NA	"Vat1,Slc39a13,Cd24a,Dhcr7,Per2,Clec5a,Col1a2,Sptb,Dhcr24,Tef,Hspa5,Murc,Angptl4,Gna12,Insig1,Arhgef10,Mal,Brinp1,Arhgap24,Epyc,Leo1,Rgcc,Srd5a1,Lox,Col4a2,Klf15,Drp2,Cacna1s,Chd5,Col1a1,Tsc22d3,Sgk1,Spag9,Cyb5d2,Pmp22,Myo10,Nav1,Atxn1,Fdps,Dhrs3,Fscn1,Nsdhl,Paqr8,Mpz,Xbp1,Cxcl12,Trp53,Emp2,Tet3,Lrrc8a,Adipor1,Adcy1,Serpine2,Syna,Hsf4,Ikbkb,Klf13,Col14a1,Sparc,Hif3a,Arid5b,Cd63,Plxnd1,Fa2h,Dbp,Hmgcr,Mtmr2,Cdh3,Mbp,Ppp1r16b,Id4,Prex2,Col4a1,Sema5a,Aacs,Manf,Ugt8a,Tacc1"	"GO:0048856"	0.000132033369563103	0.00615979680135061	"GO:0032502,GO:0048856"
"GO:0032367"	14	3.36597097848448	3	"intracellular cholesterol transport"	NA	NA	NA	NA	NA	15	3	0.000378392236145033	0.0139367835186471	"Stard4,Ldlr,Abca2"	NA	NA	NA	NA	NA	"Stard4,Ldlr,Abca2"	"GO:0032367"	0.000378392236145033	0.0139367835186471	"GO:0032365,GO:0032367,GO:0032366"
"GO:0032366"	15	3.36597097848448	3	"intracellular sterol transport"	NA	NA	NA	NA	NA	15	3	0.000378392236145033	0.0139367835186471	"Stard4,Ldlr,Abca2"	NA	NA	NA	NA	NA	"Stard4,Ldlr,Abca2"	"GO:0032366"	0.000378392236145033	0.0139367835186471	"GO:0032366,GO:0032367,GO:0032365"
"GO:0001525"	1	3.28593305135778	2	"angiogenesis"	NA	NA	NA	NA	NA	432	13	0.000335648376154238	0.0127655833496052	"Angptl4,Arhgap24,Rgcc,Col4a2,Xbp1,Cxcl12,Emp2,Sparc,Hif3a,Plxnd1,Ppp1r16b,Col4a1,Sema5a"	NA	NA	NA	NA	NA	"Angptl4,Arhgap24,Rgcc,Col4a2,Xbp1,Cxcl12,Emp2,Sparc,Hif3a,Plxnd1,Ppp1r16b,Col4a1,Sema5a"	"GO:0001525"	0.000335648376154238	0.0127655833496052	"GO:0001525,GO:0048514"
"GO:0030301"	9	3.23505427871724	2	"cholesterol transport"	NA	NA	NA	NA	NA	69	5	0.000563064802559462	0.0187634642300529	"Stard4,Ldlr,Srebf2,Abca2,Acat2"	NA	NA	NA	NA	NA	"Stard4,Ldlr,Srebf2,Abca2,Acat2"	"GO:0030301"	0.000563064802559462	0.0187634642300529	"GO:0015918,GO:0030301"
"GO:0071492"	19	3.13517076701023	2	"cellular response to UV-A"	NA	NA	NA	NA	NA	3	2	0.000280457799162208	0.0108544713572908	"Mme,Ppid"	NA	NA	NA	NA	NA	"Mme,Ppid"	"GO:0071492"	0.000280457799162208	0.0108544713572908	"GO:0070141,GO:0071492"
"GO:0006084"	3	3.05226057130268	3	"acetyl-CoA metabolic process"	30	4	2.27e-08	2.36e-05	"Acly,Acaca,Fasn,Acss2"	30	4	0.000195443092379798	0.0082392214486375	"Acly,Mvd,Acss2,Mvk"	NA	NA	NA	NA	NA	"Acly,Acaca,Fasn,Acss2,Acly,Mvd,Acss2,Mvk"	"GO:0006084"	9.7732896189899e-05	0.00413141072431875	"GO:0006084,GO:0006637,GO:0035383"
"GO:0043241"	17	3.04291274363029	5	"protein complex disassembly"	NA	NA	NA	NA	NA	127	7	0.000249007693909885	0.0102503284822434	"Per2,Sptb,Tmod2,Sgk1,Mid1ip1,Sema5a,Hspa8"	NA	NA	NA	NA	NA	"Per2,Sptb,Tmod2,Sgk1,Mid1ip1,Sema5a,Hspa8"	"GO:0043241"	0.000249007693909885	0.0102503284822434	"GO:0032984,GO:0043624,GO:0043241,GO:0051261,GO:1902904"
