"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045833","BP","GO:0045833","negative regulation of lipid metabolic process","2/34","106/29008",0.00687575953051354,0.142164175855709,0.103533643900909,"Plin5/Adra2a",2
"GO:0048704","BP","GO:0048704","embryonic skeletal system morphogenesis","2/34","110/29008",0.00738542781963695,0.142164175855709,0.103533643900909,"Tgfb2/Slc39a3",2
"GO:0002367","BP","GO:0002367","cytokine production involved in immune response","2/34","111/29008",0.00751544902786174,0.142164175855709,0.103533643900909,"Tgfb2/Arid5a",2
"GO:0008585","BP","GO:0008585","female gonad development","2/34","117/29008",0.00831726139641667,0.142164175855709,0.103533643900909,"Pcyt1b/Tiparp",2
"GO:0006644","BP","GO:0006644","phospholipid metabolic process","3/34","360/29008",0.00853193078685083,0.142164175855709,0.103533643900909,"Pcyt1b/Agpat5/Far1",3
"GO:0001776","BP","GO:0001776","leukocyte homeostasis","2/34","120/29008",0.0087319978328412,0.142164175855709,0.103533643900909,"Tgfb2/Slc39a3",2
"GO:0051346","BP","GO:0051346","negative regulation of hydrolase activity","3/34","374/29008",0.00946380982306064,0.142164175855709,0.103533643900909,"Tgfb2/Cnn3/Plin5",3
"GO:0030216","BP","GO:0030216","keratinocyte differentiation","2/34","128/29008",0.00988243206174026,0.142164175855709,0.103533643900909,"Tgfb2/Kazn",2
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","3/34","389/29008",0.0105261121228252,0.142164175855709,0.103533643900909,"Gna12/Tiparp/Adra2a",3
"GO:0003149","BP","GO:0003149","membranous septum morphogenesis","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0010692","BP","GO:0010692","regulation of alkaline phosphatase activity","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0010944","BP","GO:0010944","negative regulation of transcription by competitive promoter binding","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Dach1",1
"GO:0035744","BP","GO:0035744","T-helper 1 cell cytokine production","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Arid5a",1
"GO:0045955","BP","GO:0045955","negative regulation of calcium ion-dependent exocytosis","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Adra2a",1
"GO:0048671","BP","GO:0048671","negative regulation of collateral sprouting","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0048702","BP","GO:0048702","embryonic neurocranium morphogenesis","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0086015","BP","GO:0086015","SA node cell action potential","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Scn3b",1
"GO:0086018","BP","GO:0086018","SA node cell to atrial cardiac muscle cell signaling","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Scn3b",1
"GO:0086070","BP","GO:0086070","SA node cell to atrial cardiac muscle cell communication","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Scn3b",1
"GO:0090091","BP","GO:0090091","positive regulation of extracellular matrix disassembly","1/34","10/29008",0.0116610761461646,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0030326","BP","GO:0030326","embryonic limb morphogenesis","2/34","143/29008",0.0122102545940884,0.142164175855709,0.103533643900909,"Tgfb2/Gna12",2
"GO:0035113","BP","GO:0035113","embryonic appendage morphogenesis","2/34","143/29008",0.0122102545940884,0.142164175855709,0.103533643900909,"Tgfb2/Gna12",2
"GO:0006639","BP","GO:0006639","acylglycerol metabolic process","2/34","146/29008",0.0127019919246704,0.142164175855709,0.103533643900909,"Agpat5/Plin5",2
"GO:0008611","BP","GO:0008611","ether lipid biosynthetic process","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Far1",1
"GO:0021684","BP","GO:0021684","cerebellar granular layer formation","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0021707","BP","GO:0021707","cerebellar granule cell differentiation","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0035336","BP","GO:0035336","long-chain fatty-acyl-CoA metabolic process","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Far1",1
"GO:0045602","BP","GO:0045602","negative regulation of endothelial cell differentiation","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"S1pr3",1
"GO:0046504","BP","GO:0046504","glycerol ether biosynthetic process","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Far1",1
"GO:0097384","BP","GO:0097384","cellular lipid biosynthetic process","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Far1",1
"GO:0140289","BP","GO:0140289","protein mono-ADP-ribosylation","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Tiparp",1
"GO:1904753","BP","GO:1904753","negative regulation of vascular associated smooth muscle cell migration","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Gna12",1
"GO:2000434","BP","GO:2000434","regulation of protein neddylation","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Dcun1d4",1
"GO:2000786","BP","GO:2000786","positive regulation of autophagosome assembly","1/34","11/29008",0.0128198982515183,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0007189","BP","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","2/34","147/29008",0.0128678134107104,0.142164175855709,0.103533643900909,"S1pr3/Adra2a",2
"GO:0048706","BP","GO:0048706","embryonic skeletal system development","2/34","147/29008",0.0128678134107104,0.142164175855709,0.103533643900909,"Tgfb2/Slc39a3",2
"GO:0006638","BP","GO:0006638","neutral lipid metabolic process","2/34","148/29008",0.0130345855443842,0.142164175855709,0.103533643900909,"Agpat5/Plin5",2
"GO:0031331","BP","GO:0031331","positive regulation of cellular catabolic process","3/34","425/29008",0.0133499765110082,0.142164175855709,0.103533643900909,"Ulk1/Plin5/Adra2a",3
"GO:0032000","BP","GO:0032000","positive regulation of fatty acid beta-oxidation","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Plin5",1
"GO:0033262","BP","GO:0033262","regulation of nuclear cell cycle DNA replication","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Dach1",1
"GO:0044090","BP","GO:0044090","positive regulation of vacuole organization","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0045741","BP","GO:0045741","positive regulation of epidermal growth factor-activated receptor activity","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Adra2a",1
"GO:0051798","BP","GO:0051798","positive regulation of hair follicle development","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0061626","BP","GO:0061626","pharyngeal arch artery morphogenesis","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0070213","BP","GO:0070213","protein auto-ADP-ribosylation","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Tiparp",1
"GO:0070472","BP","GO:0070472","regulation of uterine smooth muscle contraction","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Adra2a",1
"GO:0090161","BP","GO:0090161","Golgi ribbon formation","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Stx6",1
"GO:0090209","BP","GO:0090209","negative regulation of triglyceride metabolic process","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Plin5",1
"GO:1901503","BP","GO:1901503","ether biosynthetic process","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Far1",1
"GO:2000318","BP","GO:2000318","positive regulation of T-helper 17 type immune response","1/34","12/29008",0.0139774015608072,0.142164175855709,0.103533643900909,"Arid5a",1
"GO:0010876","BP","GO:0010876","lipid localization","3/34","437/29008",0.014378569259754,0.142164175855709,0.103533643900909,"Osbpl5/Slco3a1/Plin5",3
"GO:0030856","BP","GO:0030856","regulation of epithelial cell differentiation","2/34","157/29008",0.0145779326242175,0.142164175855709,0.103533643900909,"S1pr3/Tgfb2",2
"GO:0021683","BP","GO:0021683","cerebellar granular layer morphogenesis","1/34","13/29008",0.0151335875294554,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0032780","BP","GO:0032780","negative regulation of ATPase activity","1/34","13/29008",0.0151335875294554,0.142164175855709,0.103533643900909,"Cnn3",1
"GO:0070471","BP","GO:0070471","uterine smooth muscle contraction","1/34","13/29008",0.0151335875294554,0.142164175855709,0.103533643900909,"Adra2a",1
"GO:0099532","BP","GO:0099532","synaptic vesicle endosomal processing","1/34","13/29008",0.0151335875294554,0.142164175855709,0.103533643900909,"Stx6",1
"GO:0046474","BP","GO:0046474","glycerophospholipid biosynthetic process","2/34","163/29008",0.0156486778867384,0.142164175855709,0.103533643900909,"Pcyt1b/Far1",2
"GO:0030206","BP","GO:0030206","chondroitin sulfate biosynthetic process","1/34","14/29008",0.0162884576113318,0.142164175855709,0.103533643900909,"Csgalnact1",1
"GO:0061709","BP","GO:0061709","reticulophagy","1/34","14/29008",0.0162884576113318,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0006924","BP","GO:0006924","activation-induced cell death of T cells","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0010715","BP","GO:0010715","regulation of extracellular matrix disassembly","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0010889","BP","GO:0010889","regulation of sequestering of triglyceride","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Plin5",1
"GO:0021932","BP","GO:0021932","hindbrain radial glia guided cell migration","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0030007","BP","GO:0030007","cellular potassium ion homeostasis","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Kctd7",1
"GO:0042416","BP","GO:0042416","dopamine biosynthetic process","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0045605","BP","GO:0045605","negative regulation of epidermal cell differentiation","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0045683","BP","GO:0045683","negative regulation of epidermis development","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0046322","BP","GO:0046322","negative regulation of fatty acid oxidation","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Plin5",1
"GO:0048103","BP","GO:0048103","somatic stem cell division","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0051280","BP","GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0070234","BP","GO:0070234","positive regulation of T cell apoptotic process","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0086014","BP","GO:0086014","atrial cardiac muscle cell action potential","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Scn3b",1
"GO:0086026","BP","GO:0086026","atrial cardiac muscle cell to AV node cell signaling","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Scn3b",1
"GO:0086066","BP","GO:0086066","atrial cardiac muscle cell to AV node cell communication","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Scn3b",1
"GO:2001241","BP","GO:2001241","positive regulation of extrinsic apoptotic signaling pathway in absence of ligand","1/34","15/29008",0.0174420132587494,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0090407","BP","GO:0090407","organophosphate biosynthetic process","3/34","476/29008",0.018027542752871,0.142164175855709,0.103533643900909,"Pcyt1b/Agpat5/Far1",3
"GO:0002700","BP","GO:0002700","regulation of production of molecular mediator of immune response","2/34","177/29008",0.0182742081593579,0.142164175855709,0.103533643900909,"Tgfb2/Arid5a",2
"GO:0035107","BP","GO:0035107","appendage morphogenesis","2/34","177/29008",0.0182742081593579,0.142164175855709,0.103533643900909,"Tgfb2/Gna12",2
"GO:0035108","BP","GO:0035108","limb morphogenesis","2/34","177/29008",0.0182742081593579,0.142164175855709,0.103533643900909,"Tgfb2/Gna12",2
"GO:0048608","BP","GO:0048608","reproductive structure development","3/34","480/29008",0.0184284507987091,0.142164175855709,0.103533643900909,"Tgfb2/Pcyt1b/Tiparp",3
"GO:0006857","BP","GO:0006857","oligopeptide transport","1/34","16/29008",0.0185942559224682,0.142164175855709,0.103533643900909,"Slco3a1",1
"GO:0009070","BP","GO:0009070","serine family amino acid biosynthetic process","1/34","16/29008",0.0185942559224682,0.142164175855709,0.103533643900909,"Srr",1
"GO:0035358","BP","GO:0035358","regulation of peroxisome proliferator activated receptor signaling pathway","1/34","16/29008",0.0185942559224682,0.142164175855709,0.103533643900909,"Plin5",1
"GO:0044804","BP","GO:0044804","autophagy of nucleus","1/34","16/29008",0.0185942559224682,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0051044","BP","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","1/34","16/29008",0.0185942559224682,0.142164175855709,0.103533643900909,"Adra2a",1
"GO:0061179","BP","GO:0061179","negative regulation of insulin secretion involved in cellular response to glucose stimulus","1/34","16/29008",0.0185942559224682,0.142164175855709,0.103533643900909,"Adra2a",1
"GO:1902337","BP","GO:1902337","regulation of apoptotic process involved in morphogenesis","1/34","16/29008",0.0185942559224682,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0061458","BP","GO:0061458","reproductive system development","3/34","484/29008",0.0188343417989052,0.142164175855709,0.103533643900909,"Tgfb2/Pcyt1b/Tiparp",3
"GO:0007219","BP","GO:0007219","Notch signaling pathway","2/34","182/29008",0.0192541447991765,0.142164175855709,0.103533643900909,"S1pr3/Tgfb2",2
"GO:0001967","BP","GO:0001967","suckling behavior","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Dach1",1
"GO:0003184","BP","GO:0003184","pulmonary valve morphogenesis","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0003198","BP","GO:0003198","epithelial to mesenchymal transition involved in endocardial cushion formation","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0003222","BP","GO:0003222","ventricular trabecula myocardium morphogenesis","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0010896","BP","GO:0010896","regulation of triglyceride catabolic process","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Plin5",1
"GO:0010935","BP","GO:0010935","regulation of macrophage cytokine production","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0021681","BP","GO:0021681","cerebellar granular layer development","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0035337","BP","GO:0035337","fatty-acyl-CoA metabolic process","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Far1",1
"GO:0051284","BP","GO:0051284","positive regulation of sequestering of calcium ion","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0051386","BP","GO:0051386","regulation of neurotrophin TRK receptor signaling pathway","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Ulk1",1
"GO:0060413","BP","GO:0060413","atrial septum morphogenesis","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0086012","BP","GO:0086012","membrane depolarization during cardiac muscle cell action potential","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Scn3b",1
"GO:1904748","BP","GO:1904748","regulation of apoptotic process involved in development","1/34","17/29008",0.019745187051698,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0002827","BP","GO:0002827","positive regulation of T-helper 1 type immune response","1/34","18/29008",0.0208948080940989,0.142164175855709,0.103533643900909,"Arid5a",1
"GO:0010867","BP","GO:0010867","positive regulation of triglyceride biosynthetic process","1/34","18/29008",0.0208948080940989,0.142164175855709,0.103533643900909,"Plin5",1
"GO:0010934","BP","GO:0010934","macrophage cytokine production","1/34","18/29008",0.0208948080940989,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0030730","BP","GO:0030730","sequestering of triglyceride","1/34","18/29008",0.0208948080940989,0.142164175855709,0.103533643900909,"Plin5",1
"GO:0043252","BP","GO:0043252","sodium-independent organic anion transport","1/34","18/29008",0.0208948080940989,0.142164175855709,0.103533643900909,"Slco3a1",1
"GO:0060192","BP","GO:0060192","negative regulation of lipase activity","1/34","18/29008",0.0208948080940989,0.142164175855709,0.103533643900909,"Plin5",1
"GO:1901570","BP","GO:1901570","fatty acid derivative biosynthetic process","1/34","18/29008",0.0208948080940989,0.142164175855709,0.103533643900909,"Far1",1
"GO:1904424","BP","GO:1904424","regulation of GTP binding","1/34","18/29008",0.0208948080940989,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0008016","BP","GO:0008016","regulation of heart contraction","2/34","195/29008",0.0219032975285804,0.142164175855709,0.103533643900909,"Tgfb2/Scn3b",2
"GO:0003214","BP","GO:0003214","cardiac left ventricle morphogenesis","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0010002","BP","GO:0010002","cardioblast differentiation","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0010523","BP","GO:0010523","negative regulation of calcium ion transport into cytosol","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0032570","BP","GO:0032570","response to progesterone","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0046485","BP","GO:0046485","ether lipid metabolic process","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"Far1",1
"GO:0060081","BP","GO:0060081","membrane hyperpolarization","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"Kctd7",1
"GO:1901550","BP","GO:1901550","regulation of endothelial cell development","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"S1pr3",1
"GO:1903140","BP","GO:1903140","regulation of establishment of endothelial barrier","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"S1pr3",1
"GO:1905209","BP","GO:1905209","positive regulation of cardiocyte differentiation","1/34","19/29008",0.0220431204957822,0.142164175855709,0.103533643900909,"Tgfb2",1
"GO:0046578","BP","GO:0046578","regulation of Ras protein signal transduction","2/34","200/29008",0.0229604237516511,0.145018747553413,0.105612537601525,"Tgfb2/Lztr1",2
"GO:0003215","BP","GO:0003215","cardiac right ventricle morphogenesis","1/34","20/29008",0.0231901257013133,0.145018747553413,0.105612537601525,"Tgfb2",1
"GO:0045986","BP","GO:0045986","negative regulation of smooth muscle contraction","1/34","20/29008",0.0231901257013133,0.145018747553413,0.105612537601525,"Adra2a",1
"GO:0030308","BP","GO:0030308","negative regulation of cell growth","2/34","202/29008",0.0233891198028767,0.145018747553413,0.105612537601525,"Ulk1/Tgfb2",2
"GO:0010721","BP","GO:0010721","negative regulation of cell development","2/34","205/29008",0.0240383739387146,0.145018747553413,0.105612537601525,"S1pr3/Ulk1",2
"GO:0001502","BP","GO:0001502","cartilage condensation","1/34","21/29008",0.024335825153713,0.145018747553413,0.105612537601525,"Tgfb2",1
"GO:0003177","BP","GO:0003177","pulmonary valve development","1/34","21/29008",0.024335825153713,0.145018747553413,0.105612537601525,"Tgfb2",1
"GO:0006662","BP","GO:0006662","glycerol ether metabolic process","1/34","21/29008",0.024335825153713,0.145018747553413,0.105612537601525,"Far1",1
"GO:0045116","BP","GO:0045116","protein neddylation","1/34","21/29008",0.024335825153713,0.145018747553413,0.105612537601525,"Dcun1d4",1
"GO:0046321","BP","GO:0046321","positive regulation of fatty acid oxidation","1/34","21/29008",0.024335825153713,0.145018747553413,0.105612537601525,"Plin5",1
"GO:0050650","BP","GO:0050650","chondroitin sulfate proteoglycan biosynthetic process","1/34","21/29008",0.024335825153713,0.145018747553413,0.105612537601525,"Csgalnact1",1
"GO:0051797","BP","GO:0051797","regulation of hair follicle development","1/34","21/29008",0.024335825153713,0.145018747553413,0.105612537601525,"Tgfb2",1
"GO:0070230","BP","GO:0070230","positive regulation of lymphocyte apoptotic process","1/34","21/29008",0.024335825153713,0.145018747553413,0.105612537601525,"Tgfb2",1
"GO:0009913","BP","GO:0009913","epidermal cell differentiation","2/34","210/29008",0.0251368837650246,0.146593991522131,0.106759737640723,"Tgfb2/Kazn",2
"GO:0006656","BP","GO:0006656","phosphatidylcholine biosynthetic process","1/34","22/29008",0.0254802202944574,0.146593991522131,0.106759737640723,"Pcyt1b",1
"GO:0044851","BP","GO:0044851","hair cycle phase","1/34","22/29008",0.0254802202944574,0.146593991522131,0.106759737640723,"Tgfb2",1
"GO:0098780","BP","GO:0098780","response to mitochondrial depolarisation","1/34","22/29008",0.0254802202944574,0.146593991522131,0.106759737640723,"Ulk1",1
