"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002697","BP","GO:0002697","regulation of immune effector process","15/191","424/29008",1.59995570666932e-07,4.01152530817635e-05,3.11570321825078e-05,"Slamf8/Sh2d1b1/Spn/C6/Lep/Gimap3/Cd1d1/Cd300a/Il18rap/Cd36/Itgb2/Fcer1a/Ighm/Tyrobp/Stap1",15
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","12/191","261/29008",1.82072630926598e-07,4.0935229150484e-05,3.17938976837659e-05,"Ccl12/Itgal/Spn/Btk/Lep/Sh3rf1/Cd1d1/Cd300a/Gsk3b/Il7/Ighm/Tyrobp",12
"GO:0051271","BP","GO:0051271","negative regulation of cellular component movement","13/191","315/29008",1.92950681274943e-07,4.0935229150484e-05,3.17938976837659e-05,"Ccl12/Slamf8/Serpine1/Gpr18/Drd1/Pparg/Cd200r1/Epha1/Cd300a/Gsk3b/Stap1/C5ar2/Mctp1",13
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","16/191","500/29008",2.36860635317104e-07,4.66615451574694e-05,3.62414581105493e-05,"Dock8/Igkc/Itgal/Spn/Lep/Gimap3/Lck/Cd1d1/Il7/Itgb2/Fcer1a/Clec7a/Ighm/Tyrobp/Cd300lb/Stap1",16
"GO:0002685","BP","GO:0002685","regulation of leukocyte migration","11/191","223/29008",2.97606694916267e-07,5.47199509719377e-05,4.25003245020775e-05,"Dock8/Ccl12/Slamf8/Serpine1/Spn/Cmklr1/Gpr18/Cd200r1/Cd300a/Stap1/C5ar2",11
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","13/191","330/29008",3.28004705764464e-07,5.65398111561495e-05,4.39137879099135e-05,"Dock8/Itgal/Spn/Btk/Lep/Sh3rf1/Cd1d1/Cd300a/Il7/Itgb2/Ighm/Tyrobp/Slc11a1",13
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","13/191","334/29008",3.76042512223525e-07,6.10073675713224e-05,4.73836849767723e-05,"Dock8/Itgal/Spn/Btk/Lep/Sh3rf1/Cd1d1/Cd300a/Il7/Itgb2/Ighm/Tyrobp/Slc11a1",13
"GO:0032102","BP","GO:0032102","negative regulation of response to external stimulus","14/191","398/29008",4.49208833911623e-07,6.8828775773792e-05,5.34584781877282e-05,"Ccl12/Slamf8/Ffar4/Sh2d1b1/Serpine1/Spn/Gpr18/Lep/Dcst1/Pparg/Cd200r1/Cck/Stap1/C5ar2",14
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","13/191","341/29008",4.75447770054439e-07,6.90149973584286e-05,5.36031142415947e-05,"Ccl12/Slamf8/Serpine1/Gpr18/Drd1/Pparg/Cd200r1/Epha1/Cd300a/Gsk3b/Stap1/C5ar2/Mctp1",13
"GO:0050731","BP","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","10/191","192/29008",6.3457804599697e-07,8.75083125429822e-05,6.79666486107281e-05,"Sh2d1b1/Adra1a/Lep/Unc119/Lck/Cd36/Cck/Fcer1a/Ighm/Stap1",10
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","11/191","261/29008",1.40442054985741e-06,0.000184447232214607,0.00014325793578746,"Pparg/Gimap3/Cd1d1/Cd300a/Il18rap/Itgb2/Fcer1a/Tyrobp/Cd300lb/Stap1/Slc11a1",11
"GO:0006909","BP","GO:0006909","phagocytosis","13/191","383/29008",1.73707041937711e-06,0.000217765464392821,0.000169135803991982,"Igkc/Il2rb/Itgal/Lep/Pparg/Cd300a/Cd36/Itgb2/Clec7a/Ighm/Tyrobp/Stap1/Slc11a1",13
"GO:0031349","BP","GO:0031349","positive regulation of defense response","11/191","273/29008",2.17136196418013e-06,0.000260374621617774,0.000202229821377875,"Sh2d1b1/Serpine1/Pdcd4/Gimap3/Fabp4/Il18rap/Lpl/Cck/Fcer1a/Tyrobp/Stap1",11
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","14/191","460/29008",2.46811198003873e-06,0.000283627201706117,0.000220289819271001,"Ccl12/Slamf8/Sh2d1b1/Spn/Btk/Gpr18/Dcst1/Pparg/Gimap3/Cd200r1/Cd300a/Tyrobp/Stap1/C5ar2",14
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","10/191","226/29008",2.77123246651436e-06,0.000305722365705864,0.000237450866078178,"Ccl12/Slamf8/Serpine1/Cxcl9/Cmklr1/Cd200r1/Cd300a/Itgb2/Stap1/C5ar2",10
"GO:0032680","BP","GO:0032680","regulation of tumor necrosis factor production","9/191","183/29008",3.73793585111562e-06,0.000396508733745265,0.000307963540770052,"Spn/Gpr18/Lep/Cd36/Lpl/Cd300ld/Clec4a2/Tyrobp/C5ar2",9
"GO:0031341","BP","GO:0031341","regulation of cell killing","8/191","139/29008",4.11525544936014e-06,0.000397661076450046,0.000308858551420115,"Sh2d1b1/Lep/Gimap3/Cd1d1/Il18rap/Clec7a/Tyrobp/Stap1",8
"GO:1903555","BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","9/191","186/29008",4.26845495436134e-06,0.000397661076450046,0.000308858551420115,"Spn/Gpr18/Lep/Cd36/Lpl/Cd300ld/Clec4a2/Tyrobp/C5ar2",9
"GO:0031343","BP","GO:0031343","positive regulation of cell killing","7/191","100/29008",4.58915974977138e-06,0.000397661076450046,0.000308858551420115,"Sh2d1b1/Gimap3/Cd1d1/Il18rap/Clec7a/Tyrobp/Stap1",7
"GO:0001659","BP","GO:0001659","temperature homeostasis","9/191","188/29008",4.65698113231917e-06,0.000397661076450046,0.000308858551420115,"Ffar4/Arntl/Cmklr1/Lep/Drd1/Pparg/Gimap3/Fabp4/Cd36",9
"GO:0032640","BP","GO:0032640","tumor necrosis factor production","9/191","188/29008",4.65698113231917e-06,0.000397661076450046,0.000308858551420115,"Spn/Gpr18/Lep/Cd36/Lpl/Cd300ld/Clec4a2/Tyrobp/C5ar2",9
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","11/191","296/29008",4.71337284939408e-06,0.000397661076450046,0.000308858551420115,"Sh2d1b1/C6/Gimap3/Cd1d1/Cd300a/Il18rap/Cd36/Itgb2/Fcer1a/Tyrobp/Stap1",11
"GO:0002703","BP","GO:0002703","regulation of leukocyte mediated immunity","11/191","297/29008",4.86691335284906e-06,0.000397661076450046,0.000308858551420115,"Sh2d1b1/Spn/Lep/Gimap3/Cd1d1/Cd300a/Il18rap/Itgb2/Fcer1a/Tyrobp/Stap1",11
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","10/191","241/29008",4.90227577929715e-06,0.000397661076450046,0.000308858551420115,"Itgal/Spn/Btk/Lep/Sh3rf1/Cd1d1/Cd300a/Il7/Ighm/Tyrobp",10
"GO:0071706","BP","GO:0071706","tumor necrosis factor superfamily cytokine production","9/191","191/29008",5.29654297165295e-06,0.000417367586166252,0.000324164359317707,"Spn/Gpr18/Lep/Cd36/Lpl/Cd300ld/Clec4a2/Tyrobp/C5ar2",9
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","10/191","245/29008",5.66776415615578e-06,0.000434213709518823,0.000337248539701082,"Itgal/Spn/Btk/Lep/Sh3rf1/Cd1d1/Cd300a/Il7/Ighm/Tyrobp",10
"GO:0060099","BP","GO:0060099","regulation of phagocytosis, engulfment","4/191","20/29008",8.1252451186604e-06,0.000605660163169335,0.000470408927922444,"Pparg/Cd300a/Cd36/Stap1",4
"GO:0001906","BP","GO:0001906","cell killing","10/191","260/29008",9.53521674386393e-06,0.000674310968707096,0.000523729178779031,"Ccl12/Sh2d1b1/Cxcl9/Lep/Gimap3/Cd1d1/Il18rap/Clec7a/Tyrobp/Stap1",10
"GO:0045444","BP","GO:0045444","fat cell differentiation","10/191","260/29008",9.53521674386393e-06,0.000674310968707096,0.000523729178779031,"Ffar4/Arntl/Cmklr1/Lep/Bbs12/Pparg/Bbs9/Fabp4/Gsk3b/Lpl",10
"GO:1905153","BP","GO:1905153","regulation of membrane invagination","4/191","21/29008",9.98545407060959e-06,0.000688497058168531,0.000534747342991856,"Pparg/Cd300a/Cd36/Stap1",4
"GO:0050764","BP","GO:0050764","regulation of phagocytosis","7/191","115/29008",1.15606481833854e-05,0.000777665065604317,0.000604003056564553,"Il2rb/Pparg/Cd300a/Cd36/Clec7a/Stap1/Slc11a1",7
"GO:0071404","BP","GO:0071404","cellular response to low-density lipoprotein particle stimulus","4/191","22/29008",1.21416972411858e-05,0.000797304785504532,0.000619256989619374,"Pparg/Cd36/Lpl/Itgb2",4
"GO:0071675","BP","GO:0071675","regulation of mononuclear cell migration","7/191","118/29008",1.36824242285537e-05,0.000877584326101191,0.000681609138435909,"Dock8/Ccl12/Slamf8/Serpine1/Spn/Cmklr1/Cd200r1",7
"GO:0001910","BP","GO:0001910","regulation of leukocyte mediated cytotoxicity","7/191","120/29008",1.52684076886732e-05,0.000957051554667286,0.000743330374316983,"Sh2d1b1/Lep/Gimap3/Cd1d1/Il18rap/Tyrobp/Stap1",7
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","13/191","471/29008",1.60739593621998e-05,0.000985155109354382,0.000765158065545654,"Dock8/Itgal/Spn/Lep/Gimap3/Lck/Epha1/Cd1d1/Gsk3b/Cd36/Il7/Itgb2/Rhod",13
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","11/191","342/29008",1.82392481975124e-05,0.00109356188105955,0.000849356294781185,"Slamf8/Ffar4/Serpine1/Spn/Pdcd4/Pparg/Cd200r1/Fabp4/Lpl/Fcer1a/Stap1",11
"GO:0002688","BP","GO:0002688","regulation of leukocyte chemotaxis","7/191","124/29008",1.88981433977373e-05,0.00110585413468207,0.000858903539589333,"Ccl12/Slamf8/Serpine1/Cmklr1/Gpr18/Stap1/C5ar2",7
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","11/191","344/29008",1.92461923367438e-05,0.00110585413468207,0.000858903539589333,"Ffar4/Ptger2/Adra1a/Cxcl9/Cmklr1/Gpr18/Drd1/Gimap3/Lck/Cd36/C5ar2",11
"GO:0050766","BP","GO:0050766","positive regulation of phagocytosis","6/191","84/29008",1.99906334732577e-05,0.00112402634377444,0.000873017674737984,"Il2rb/Pparg/Cd36/Clec7a/Stap1/Slc11a1",6
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","9/191","226/29008",2.03775624324591e-05,0.00112402634377444,0.000873017674737984,"Ccl12/Slamf8/Serpine1/Cxcl9/Cmklr1/Gpr18/Itgb2/Stap1/C5ar2",9
"GO:0032635","BP","GO:0032635","interleukin-6 production","8/191","174/29008",2.12781063860124e-05,0.00115068661593377,0.000893724385872759,"Lep/Cd200r1/Il18rap/Cd36/Lpl/Cd300ld/Tyrobp/C5ar2",8
"GO:0002768","BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway","11/191","351/29008",2.3159652741746e-05,0.00121379106141725,0.000942736845915845,"Igkc/Btnl9/Sh2d1b1/Btk/Cmklr1/Lck/Cd300a/Ighm/Tyrobp/Stap1/C5ar2",11
"GO:0042755","BP","GO:0042755","eating behavior","5/191","52/29008",2.37437605534575e-05,0.00121379106141725,0.000942736845915845,"Lep/Bbs12/Drd1/Cd36/Cck",5
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation","13/191","489/29008",2.37653072213675e-05,0.00121379106141725,0.000942736845915845,"Slamf8/Igkc/Spn/Btk/Gpr18/Lep/Pparg/Gimap3/Sh3rf1/Lck/Cd1d1/Il7/Ighm",13
"GO:0006874","BP","GO:0006874","cellular calcium ion homeostasis","13/191","490/29008",2.42740736354461e-05,0.00121723445611928,0.000945411288959481,"Ccl12/Ffar4/Ptger2/Adra1a/Cxcl9/Cmklr1/Gpr18/Stc2/Drd1/Gimap3/Lck/Cd36/C5ar2",13
"GO:0001912","BP","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","6/191","89/29008",2.78113625000978e-05,0.00136616022023554,0.00106108012983448,"Sh2d1b1/Gimap3/Cd1d1/Il18rap/Tyrobp/Stap1",6
"GO:0071674","BP","GO:0071674","mononuclear cell migration","8/191","181/29008",2.82346383442443e-05,0.00136616022023554,0.00106108012983448,"Dock8/Ccl12/Slamf8/Itgal/Serpine1/Spn/Cmklr1/Cd200r1",8
"GO:0002705","BP","GO:0002705","positive regulation of leukocyte mediated immunity","8/191","183/29008",3.05401331583013e-05,0.00145223598707922,0.00112793413751621,"Sh2d1b1/Gimap3/Cd1d1/Il18rap/Itgb2/Fcer1a/Tyrobp/Stap1",8
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","9/191","240/29008",3.26608025861812e-05,0.00152675412767267,0.00118581147659016,"Dock8/Itgal/Spn/Lep/Gimap3/Lck/Cd1d1/Il7/Itgb2",9
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","12/191","436/29008",3.51818965052171e-05,0.00161719450935648,0.0012560554278617,"Dock8/Igkc/Itgal/Spn/Lep/Gimap3/Lck/Cd1d1/Il7/Clec7a/Ighm/Tyrobp",12
"GO:0002532","BP","GO:0002532","production of molecular mediator involved in inflammatory response","6/191","94/29008",3.79220993187155e-05,0.0017145762282134,0.00133169063181339,"Slamf8/Serpine1/Pdcd4/Lep/Cd300a/Clec7a",6
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","12/191","441/29008",3.92773174468646e-05,0.00174720712126536,0.00135703465202664,"Slamf8/Igkc/Spn/Btk/Gpr18/Lep/Gimap3/Sh3rf1/Lck/Cd1d1/Il7/Ighm",12
"GO:0050922","BP","GO:0050922","negative regulation of chemotaxis","5/191","59/29008",4.40644971582345e-05,0.00192904576448271,0.0014982665282708,"Ccl12/Slamf8/Gpr18/Stap1/C5ar2",5
"GO:0060326","BP","GO:0060326","cell chemotaxis","10/191","312/29008",4.53160083351985e-05,0.00195283673419496,0.00151674468687712,"Ccl12/Slamf8/Serpine1/Cxcl9/Cmklr1/Gpr18/Pip5k1a/Itgb2/Stap1/C5ar2",10
"GO:0051480","BP","GO:0051480","regulation of cytosolic calcium ion concentration","11/191","386/29008",5.48073785768624e-05,0.00230462947522741,0.00178997785660386,"Ffar4/Ptger2/Adra1a/Cxcl9/Cmklr1/Gpr18/Drd1/Gimap3/Lck/Cd36/C5ar2",11
"GO:1905517","BP","GO:1905517","macrophage migration","5/191","62/29008",5.6053675990837e-05,0.00230462947522741,0.00178997785660386,"Ccl12/Slamf8/Cmklr1/Cd200r1/Stap1",5
"GO:0106106","BP","GO:0106106","cold-induced thermogenesis","7/191","147/29008",5.6290361163171e-05,0.00230462947522741,0.00178997785660386,"Ffar4/Arntl/Cmklr1/Lep/Pparg/Fabp4/Cd36",7
"GO:0007200","BP","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","6/191","101/29008",5.68219014921915e-05,0.00230462947522741,0.00178997785660386,"Ffar4/Adra1a/Cmklr1/Gpr18/Drd1/C5ar2",6
"GO:0045598","BP","GO:0045598","regulation of fat cell differentiation","7/191","148/29008",5.87598974404914e-05,0.0023486927121866,0.0018242012401434,"Ffar4/Arntl/Cmklr1/Lep/Bbs12/Pparg/Lpl",7
"GO:0006469","BP","GO:0006469","negative regulation of protein kinase activity","8/191","203/29008",6.36087356619806e-05,0.00249310589235781,0.00193636521161335,"Chmp6/Drd1/Pparg/Epha1/Fabp4/Dusp7/Cd300a/Gsk3b",8
"GO:0055094","BP","GO:0055094","response to lipoprotein particle","4/191","33/29008",6.41807535741133e-05,0.00249310589235781,0.00193636521161335,"Pparg/Cd36/Lpl/Itgb2",4
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","10/191","333/29008",7.79225171939614e-05,0.00298486531140202,0.00231830880832911,"Dock8/Itgal/Spn/Lep/Gimap3/Lck/Cd1d1/Cd300a/Il7/Itgb2",10
"GO:0071402","BP","GO:0071402","cellular response to lipoprotein particle stimulus","4/191","35/29008",8.12835249832755e-05,0.00307095838224485,0.00238517625581782,"Pparg/Cd36/Lpl/Itgb2",4
"GO:0070665","BP","GO:0070665","positive regulation of leukocyte proliferation","7/191","157/29008",8.52374361011065e-05,0.00312034125471356,0.00242353133595744,"Itgal/Spn/Lep/Cd1d1/Gsk3b/Il7/Ighm",7
"GO:0097530","BP","GO:0097530","granulocyte migration","7/191","157/29008",8.52374361011065e-05,0.00312034125471356,0.00242353133595744,"Ccl12/Slamf8/Cxcl9/Cmklr1/Cd300a/Itgb2/C5ar2",7
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","10/191","337/29008",8.5984748135689e-05,0.00312034125471356,0.00242353133595744,"Ccl12/Serpine1/Cxcl9/Pdcd4/Mus81/Gsk3b/Cd36/Clec7a/Cd300lb/Stap1",10
"GO:0050863","BP","GO:0050863","regulation of T cell activation","10/191","339/29008",9.0274363336583e-05,0.00321678639272833,0.00249843910888979,"Dock8/Itgal/Spn/Lep/Gimap3/Sh3rf1/Lck/Cd1d1/Cd300a/Il7",10
"GO:0042119","BP","GO:0042119","neutrophil activation","4/191","36/29008",9.09751046529404e-05,0.00321678639272833,0.00249843910888979,"Cd300a/Il18rap/Itgb2/Tyrobp",4
"GO:0002429","BP","GO:0002429","immune response-activating cell surface receptor signaling pathway","10/191","340/29008",9.24863653192443e-05,0.00322882779177817,0.00250779151798351,"Igkc/Btnl9/Btk/Cmklr1/Lck/Cd300a/Ighm/Tyrobp/Stap1/C5ar2",10
"GO:0002757","BP","GO:0002757","immune response-activating signal transduction","10/191","341/29008",9.47441668073536e-05,0.00326630515068352,0.00253689972964427,"Igkc/Btnl9/Btk/Cmklr1/Lck/Cd300a/Ighm/Tyrobp/Stap1/C5ar2",10
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","8/191","216/29008",9.80433276479398e-05,0.00333831478583973,0.00259282874286625,"Dock8/Itgal/Spn/Lep/Gimap3/Lck/Cd1d1/Il7",8
"GO:0045088","BP","GO:0045088","regulation of innate immune response","8/191","217/29008",0.000101230854452417,0.00340481337292398,0.00264447739166456,"Slamf8/Sh2d1b1/Lep/Dcst1/Pparg/Gimap3/Il18rap/Tyrobp",8
"GO:1990845","BP","GO:1990845","adaptive thermogenesis","7/191","162/29008",0.000103708347504647,0.00344611593274477,0.0026765565906399,"Ffar4/Arntl/Cmklr1/Lep/Pparg/Fabp4/Cd36",7
"GO:0030888","BP","GO:0030888","regulation of B cell proliferation","5/191","71/29008",0.000107513196958839,0.00353001663348187,0.00274172125076738,"Btk/Cd300a/Il7/Ighm/Tyrobp",5
"GO:0042098","BP","GO:0042098","T cell proliferation","8/191","221/29008",0.000114851927811923,0.00372660725770923,0.00289441081235002,"Dock8/Itgal/Spn/Lep/Sh3rf1/Cd1d1/Itgb2/Slc11a1",8
"GO:0032675","BP","GO:0032675","regulation of interleukin-6 production","7/191","166/29008",0.000120722464103051,0.00387154134879318,0.00300697936902947,"Lep/Cd200r1/Cd36/Lpl/Cd300ld/Tyrobp/C5ar2",7
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","12/191","500/29008",0.000128984596657854,0.00401634738823827,0.00311944846954883,"Serpine1/Spn/Lep/Gimap3/Cd1d1/Cd36/Lpl/Il7/Fcer1a/Clec7a/Tyrobp/Slc11a1",12
"GO:0007160","BP","GO:0007160","cell-matrix adhesion","8/191","225/29008",0.000129954169938484,0.00401634738823827,0.00311944846954883,"Itgal/Serpine1/Pip5k1a/Epha1/Gsk3b/Cd36/Itgb2/Rhod",8
"GO:0001909","BP","GO:0001909","leukocyte mediated cytotoxicity","7/191","168/29008",0.00013004203307613,0.00401634738823827,0.00311944846954883,"Sh2d1b1/Lep/Gimap3/Cd1d1/Il18rap/Tyrobp/Stap1",7
"GO:0022409","BP","GO:0022409","positive regulation of cell-cell adhesion","9/191","288/29008",0.000132037203042027,0.00401634738823827,0.00311944846954883,"Dock8/Itgal/Spn/Lep/Gimap3/Lck/Cd1d1/Il7/Itgb2",9
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","11/191","427/29008",0.000133712511851191,0.00401634738823827,0.00311944846954883,"Sh2d1b1/Serpine1/Pdcd4/Cmklr1/Gimap3/Fabp4/Il18rap/Lpl/Fcer1a/Tyrobp/Stap1",11
"GO:0033673","BP","GO:0033673","negative regulation of kinase activity","8/191","226/29008",0.000133975329846962,0.00401634738823827,0.00311944846954883,"Chmp6/Drd1/Pparg/Epha1/Fabp4/Dusp7/Cd300a/Gsk3b",8
"GO:0002886","BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","5/191","75/29008",0.000139525163078569,0.00413440073732419,0.00321113907883467,"Cd300a/Itgb2/Fcer1a/Tyrobp/Stap1",5
"GO:0045860","BP","GO:0045860","positive regulation of protein kinase activity","10/191","358/29008",0.000140911410191615,0.00413440073732419,0.00321113907883467,"Adra1a/Mmd/Lep/Unc119/Tab1/Cd300a/Fcer1a/Stap1/Slc11a1/Cdc6",10
"GO:0042953","BP","GO:0042953","lipoprotein transport","3/191","16/29008",0.000147728853595015,0.00428880187594791,0.00333106057690699,"Unc119/Pparg/Cd36",3
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity","11/191","435/29008",0.000157110857977788,0.00451366402398686,0.003505708289307,"Adra1a/Mmd/Lep/Unc119/Tab1/Epha1/Cd300a/Fcer1a/Stap1/Slc11a1/Cdc6",11
"GO:0036230","BP","GO:0036230","granulocyte activation","4/191","42/29008",0.000167622093548217,0.00476599725779364,0.00370169246197094,"Cd300a/Il18rap/Itgb2/Tyrobp",4
"GO:0002253","BP","GO:0002253","activation of immune response","11/191","439/29008",0.000170059447028635,0.00478595872352016,0.00371719629112,"Igkc/Btnl9/Btk/C6/Cmklr1/Lck/Cd300a/Ighm/Tyrobp/Stap1/C5ar2",11
"GO:0001820","BP","GO:0001820","serotonin secretion","3/191","17/29008",0.000178516411100265,0.00482364572196154,0.00374646732727443,"Cd300a/Fcer1a/Slc6a4",3
"GO:0044872","BP","GO:0044872","lipoprotein localization","3/191","17/29008",0.000178516411100265,0.00482364572196154,0.00374646732727443,"Unc119/Pparg/Cd36",3
"GO:0060100","BP","GO:0060100","positive regulation of phagocytosis, engulfment","3/191","17/29008",0.000178516411100265,0.00482364572196154,0.00374646732727443,"Pparg/Cd36/Stap1",3
"GO:1905155","BP","GO:1905155","positive regulation of membrane invagination","3/191","17/29008",0.000178516411100265,0.00482364572196154,0.00374646732727443,"Pparg/Cd36/Stap1",3
"GO:0031348","BP","GO:0031348","negative regulation of defense response","8/191","236/29008",0.000180143404409731,0.00482364572196154,0.00374646732727443,"Slamf8/Ffar4/Sh2d1b1/Spn/Dcst1/Pparg/Cd200r1/Cck",8
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","9/191","302/29008",0.000188233351418646,0.0049918036847368,0.00387707358438204,"Serpine1/C6/Lep/Pparg/Epha1/Mydgf/Cd36/Adam12/Itgb2",9
"GO:0030100","BP","GO:0030100","regulation of endocytosis","8/191","238/29008",0.000190787079158866,0.00501134061257287,0.00389224768008312,"Serpine1/Unc119/Pparg/Cd300a/Cd36/Ighm/Stap1/Mctp1",8
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","10/191","373/29008",0.0001961986026353,0.00510486552894488,0.00396488735216321,"Dock8/Itgal/Spn/Lep/Gimap3/Lck/Cd1d1/Cd300a/Il7/Itgb2",10
"GO:0046631","BP","GO:0046631","alpha-beta T cell activation","7/191","180/29008",0.000198997779804103,0.00512930725887586,0.00398387094836547,"Spn/Gpr18/Gimap3/Sh3rf1/Cd1d1/Cd300a/Clec4a2",7
"GO:1901342","BP","GO:1901342","regulation of vasculature development","9/191","306/29008",0.000207529041982659,0.00529967683137197,0.00411619493601082,"Serpine1/C6/Lep/Pparg/Epha1/Mydgf/Cd36/Adam12/Itgb2",9
"GO:0042492","BP","GO:0042492","gamma-delta T cell differentiation","3/191","18/29008",0.000213182705973393,0.00539410920251943,0.0041895394172463,"Gpr18/Gimap3/Lck",3
"GO:1905521","BP","GO:1905521","regulation of macrophage migration","4/191","45/29008",0.000219720015890216,0.00550898003477468,0.00427875820417789,"Slamf8/Cmklr1/Cd200r1/Stap1",4
"GO:0002444","BP","GO:0002444","myeloid leukocyte mediated immunity","6/191","130/29008",0.000228433777251447,0.00567585907801343,0.0044083711399402,"Cd300a/Itgb2/Fcer1a/Tyrobp/Cd300lb/Stap1",6
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","11/191","457/29008",0.000240143974864557,0.00591354538103971,0.00459297921850915,"Cdsn/Dock8/Itgal/Spn/Lep/Gimap3/Lck/Cd1d1/Cd300a/Il7/Itgb2",11
