"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051302","BP","GO:0051302","regulation of cell division","3/36","186/29008",0.00158501805604266,0.0932002995344546,0.0691467028885935,"Igf1r/Blm/Chmp4c",3
"GO:0050821","BP","GO:0050821","protein stabilization","3/36","190/29008",0.00168434276267087,0.0932002995344546,0.0691467028885935,"Tsc1/Cct7/Tbrg1",3
"GO:0043161","BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","4/36","423/29008",0.00181549218844024,0.0941786572753372,0.069872561199838,"Derl2/Rmnd5b/Psmd14/Tnfaip1",4
"GO:1903202","BP","GO:1903202","negative regulation of oxidative stress-induced cell death","2/36","53/29008",0.00198296670894034,0.0968154334364988,0.0718288250606871,"Tsc1/Nono",2
"GO:0010972","BP","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","2/36","61/29008",0.00261704963130599,0.113069651042262,0.0838880733794841,"Blm/Chmp4c",2
"GO:0051054","BP","GO:0051054","positive regulation of DNA metabolic process","3/36","222/29008",0.00262081379079729,0.113069651042262,0.0838880733794841,"Igf1r/Cct7/Blm",3
"GO:1902750","BP","GO:1902750","negative regulation of cell cycle G2/M phase transition","2/36","63/29008",0.00278860516606922,0.113069651042262,0.0838880733794841,"Blm/Chmp4c",2
"GO:0097305","BP","GO:0097305","response to alcohol","3/36","229/29008",0.00286079839986446,0.113069651042262,0.0838880733794841,"Aacs/Igf1r/Blm",3
"GO:0006281","BP","GO:0006281","DNA repair","4/36","495/29008",0.00320240491454532,0.12081800359421,0.0896366925841633,"Neil2/Blm/Psmd14/Nono",4
"GO:0051298","BP","GO:0051298","centrosome duplication","2/36","74/29008",0.00382377815274314,0.137988515946818,0.102375753746212,"Chmp4c/Cep135",2
"GO:1903201","BP","GO:1903201","regulation of oxidative stress-induced cell death","2/36","79/29008",0.00434481613393346,0.143375904117081,0.106372737994283,"Tsc1/Nono",2
"GO:0045471","BP","GO:0045471","response to ethanol","2/36","81/29008",0.00456193959346443,0.143375904117081,0.106372737994283,"Aacs/Igf1r",2
"GO:0042593","BP","GO:0042593","glucose homeostasis","3/36","283/29008",0.00517097480616892,0.143375904117081,0.106372737994283,"Aacs/Igf1r/Dmxl2",3
"GO:0033500","BP","GO:0033500","carbohydrate homeostasis","3/36","284/29008",0.00522176112791618,0.143375904117081,0.106372737994283,"Aacs/Igf1r/Dmxl2",3
"GO:1900407","BP","GO:1900407","regulation of cellular response to oxidative stress","2/36","90/29008",0.00559976699159136,0.143375904117081,0.106372737994283,"Tsc1/Nono",2
"GO:0030217","BP","GO:0030217","T cell differentiation","3/36","299/29008",0.00602000611396172,0.143375904117081,0.106372737994283,"Tsc1/Blm/Sox12",3
"GO:0006310","BP","GO:0006310","DNA recombination","3/36","301/29008",0.00613165213767813,0.143375904117081,0.106372737994283,"Blm/Psmd14/Nono",3
"GO:0010389","BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","2/36","97/29008",0.00647469985951061,0.143375904117081,0.106372737994283,"Blm/Chmp4c",2
"GO:1902882","BP","GO:1902882","regulation of response to oxidative stress","2/36","99/29008",0.00673540424917557,0.143375904117081,0.106372737994283,"Tsc1/Nono",2
"GO:0032465","BP","GO:0032465","regulation of cytokinesis","2/36","101/29008",0.00700083099502981,0.143375904117081,0.106372737994283,"Igf1r/Chmp4c",2
"GO:0036473","BP","GO:0036473","cell death in response to oxidative stress","2/36","101/29008",0.00700083099502981,0.143375904117081,0.106372737994283,"Tsc1/Nono",2
"GO:1902749","BP","GO:1902749","regulation of cell cycle G2/M phase transition","2/36","105/29008",0.00754575688754419,0.143375904117081,0.106372737994283,"Blm/Chmp4c",2
"GO:1904951","BP","GO:1904951","positive regulation of establishment of protein localization","3/36","333/29008",0.00808880788618567,0.143375904117081,0.106372737994283,"Aacs/Cct7/Cep135",3
"GO:0006275","BP","GO:0006275","regulation of DNA replication","2/36","110/29008",0.00825305732361179,0.143375904117081,0.106372737994283,"Blm/Tnfaip1",2
"GO:0016579","BP","GO:0016579","protein deubiquitination","2/36","115/29008",0.00898906482666138,0.143375904117081,0.106372737994283,"Asxl1/Psmd14",2
"GO:0030038","BP","GO:0030038","contractile actin filament bundle assembly","2/36","115/29008",0.00898906482666138,0.143375904117081,0.106372737994283,"Tsc1/Tnfaip1",2
"GO:0043149","BP","GO:0043149","stress fiber assembly","2/36","115/29008",0.00898906482666138,0.143375904117081,0.106372737994283,"Tsc1/Tnfaip1",2
"GO:0000723","BP","GO:0000723","telomere maintenance","2/36","125/29008",0.0105457557950741,0.143375904117081,0.106372737994283,"Cct7/Blm",2
"GO:0052126","BP","GO:0052126","movement in host environment","2/36","126/29008",0.0107075504539811,0.143375904117081,0.106372737994283,"Chmp4c/Vps37b",2
"GO:0007098","BP","GO:0007098","centrosome cycle","2/36","128/29008",0.0110344440502495,0.143375904117081,0.106372737994283,"Chmp4c/Cep135",2
"GO:0001655","BP","GO:0001655","urogenital system development","3/36","385/29008",0.0119786791642904,0.143375904117081,0.106372737994283,"Igf1r/Tsc1/Asxl1",3
"GO:0000086","BP","GO:0000086","G2/M transition of mitotic cell cycle","2/36","134/29008",0.0120413561967662,0.143375904117081,0.106372737994283,"Blm/Chmp4c",2
"GO:0000724","BP","GO:0000724","double-strand break repair via homologous recombination","2/36","135/29008",0.0122129708391051,0.143375904117081,0.106372737994283,"Blm/Psmd14",2
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","3/36","388/29008",0.012230660504313,0.143375904117081,0.106372737994283,"Igf1r/Cct7/Blm",3
"GO:0015780","BP","GO:0015780","nucleotide-sugar transmembrane transport","1/36","10/29008",0.0123431948857238,0.143375904117081,0.106372737994283,"Slc35b1",1
"GO:0036480","BP","GO:0036480","neuron intrinsic apoptotic signaling pathway in response to oxidative stress","1/36","10/29008",0.0123431948857238,0.143375904117081,0.106372737994283,"Nono",1
"GO:0048539","BP","GO:0048539","bone marrow development","1/36","10/29008",0.0123431948857238,0.143375904117081,0.106372737994283,"Asxl1",1
"GO:0070244","BP","GO:0070244","negative regulation of thymocyte apoptotic process","1/36","10/29008",0.0123431948857238,0.143375904117081,0.106372737994283,"Blm",1
"GO:0070862","BP","GO:0070862","negative regulation of protein exit from endoplasmic reticulum","1/36","10/29008",0.0123431948857238,0.143375904117081,0.106372737994283,"Derl2",1
"GO:1902188","BP","GO:1902188","positive regulation of viral release from host cell","1/36","10/29008",0.0123431948857238,0.143375904117081,0.106372737994283,"Vps37b",1
"GO:1903376","BP","GO:1903376","regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","1/36","10/29008",0.0123431948857238,0.143375904117081,0.106372737994283,"Nono",1
"GO:1904851","BP","GO:1904851","positive regulation of establishment of protein localization to telomere","1/36","10/29008",0.0123431948857238,0.143375904117081,0.106372737994283,"Cct7",1
"GO:0007093","BP","GO:0007093","mitotic cell cycle checkpoint signaling","2/36","136/29008",0.0123856625912263,0.143375904117081,0.106372737994283,"Blm/Chmp4c",2
"GO:0000725","BP","GO:0000725","recombinational repair","2/36","137/29008",0.0125594286713151,0.143375904117081,0.106372737994283,"Blm/Psmd14",2
"GO:0070646","BP","GO:0070646","protein modification by small protein removal","2/36","137/29008",0.0125594286713151,0.143375904117081,0.106372737994283,"Asxl1/Psmd14",2
"GO:0007266","BP","GO:0007266","Rho protein signal transduction","2/36","138/29008",0.0127342663024659,0.143375904117081,0.106372737994283,"Srgap1/Tnfaip1",2
"GO:0031023","BP","GO:0031023","microtubule organizing center organization","2/36","141/29008",0.0132651808067256,0.143375904117081,0.106372737994283,"Chmp4c/Cep135",2
"GO:0006261","BP","GO:0006261","DNA-dependent DNA replication","2/36","142/29008",0.0134442769710038,0.143375904117081,0.106372737994283,"Blm/Rnaseh1",2
"GO:0006646","BP","GO:0006646","phosphatidylethanolamine biosynthetic process","1/36","11/29008",0.0135693361707815,0.143375904117081,0.106372737994283,"Cept1",1
"GO:0048505","BP","GO:0048505","regulation of timing of cell differentiation","1/36","11/29008",0.0135693361707815,0.143375904117081,0.106372737994283,"Sox5",1
"GO:0070203","BP","GO:0070203","regulation of establishment of protein localization to telomere","1/36","11/29008",0.0135693361707815,0.143375904117081,0.106372737994283,"Cct7",1
"GO:0072497","BP","GO:0072497","mesenchymal stem cell differentiation","1/36","11/29008",0.0135693361707815,0.143375904117081,0.106372737994283,"Sox5",1
"GO:0090713","BP","GO:0090713","immunological memory process","1/36","11/29008",0.0135693361707815,0.143375904117081,0.106372737994283,"Tsc1",1
"GO:0044839","BP","GO:0044839","cell cycle G2/M phase transition","2/36","146/29008",0.0141712115755798,0.143375904117081,0.106372737994283,"Blm/Chmp4c",2
"GO:0071333","BP","GO:0071333","cellular response to glucose stimulus","2/36","146/29008",0.0141712115755798,0.143375904117081,0.106372737994283,"Aacs/Igf1r",2
"GO:0071331","BP","GO:0071331","cellular response to hexose stimulus","2/36","148/29008",0.0145409704987973,0.143375904117081,0.106372737994283,"Aacs/Igf1r",2
"GO:0051701","BP","GO:0051701","biological process involved in interaction with host","2/36","149/29008",0.0147274133126465,0.143375904117081,0.106372737994283,"Chmp4c/Vps37b",2
"GO:0071326","BP","GO:0071326","cellular response to monosaccharide stimulus","2/36","149/29008",0.0147274133126465,0.143375904117081,0.106372737994283,"Aacs/Igf1r",2
"GO:0006335","BP","GO:0006335","DNA replication-dependent nucleosome assembly","1/36","12/29008",0.0147939974770498,0.143375904117081,0.106372737994283,"Hat1",1
"GO:0034723","BP","GO:0034723","DNA replication-dependent nucleosome organization","1/36","12/29008",0.0147939974770498,0.143375904117081,0.106372737994283,"Hat1",1
"GO:0039702","BP","GO:0039702","viral budding via host ESCRT complex","1/36","12/29008",0.0147939974770498,0.143375904117081,0.106372737994283,"Vps37b",1
"GO:0060430","BP","GO:0060430","lung saccule development","1/36","12/29008",0.0147939974770498,0.143375904117081,0.106372737994283,"Asxl1",1
"GO:0070202","BP","GO:0070202","regulation of establishment of protein localization to chromosome","1/36","12/29008",0.0147939974770498,0.143375904117081,0.106372737994283,"Cct7",1
"GO:0072711","BP","GO:0072711","cellular response to hydroxyurea","1/36","12/29008",0.0147939974770498,0.143375904117081,0.106372737994283,"Blm",1
"GO:1904152","BP","GO:1904152","regulation of retrograde protein transport, ER to cytosol","1/36","12/29008",0.0147939974770498,0.143375904117081,0.106372737994283,"Derl2",1
"GO:0007034","BP","GO:0007034","vacuolar transport","2/36","150/29008",0.0149148947349653,0.143375904117081,0.106372737994283,"Chmp4c/Vps37b",2
"GO:0032780","BP","GO:0032780","negative regulation of ATPase activity","1/36","13/29008",0.0160171805399147,0.143375904117081,0.106372737994283,"Tsc1",1
"GO:0040034","BP","GO:0040034","regulation of development, heterochronic","1/36","13/29008",0.0160171805399147,0.143375904117081,0.106372737994283,"Sox5",1
"GO:0048385","BP","GO:0048385","regulation of retinoic acid receptor signaling pathway","1/36","13/29008",0.0160171805399147,0.143375904117081,0.106372737994283,"Asxl1",1
"GO:0072710","BP","GO:0072710","response to hydroxyurea","1/36","13/29008",0.0160171805399147,0.143375904117081,0.106372737994283,"Blm",1
"GO:1902857","BP","GO:1902857","positive regulation of non-motile cilium assembly","1/36","13/29008",0.0160171805399147,0.143375904117081,0.106372737994283,"Cep135",1
"GO:1904816","BP","GO:1904816","positive regulation of protein localization to chromosome, telomeric region","1/36","13/29008",0.0160171805399147,0.143375904117081,0.106372737994283,"Cct7",1
"GO:0008643","BP","GO:0008643","carbohydrate transport","2/36","156/29008",0.0160614424129631,0.143375904117081,0.106372737994283,"Slc35b1/Tsc1",2
"GO:0071322","BP","GO:0071322","cellular response to carbohydrate stimulus","2/36","157/29008",0.0162561183783328,0.143375904117081,0.106372737994283,"Aacs/Igf1r",2
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","3/36","441/29008",0.0171906646438582,0.143375904117081,0.106372737994283,"Tsc1/Blm/Sox12",3
"GO:0006268","BP","GO:0006268","DNA unwinding involved in DNA replication","1/36","14/29008",0.0172388870927881,0.143375904117081,0.106372737994283,"Blm",1
"GO:0010457","BP","GO:0010457","centriole-centriole cohesion","1/36","14/29008",0.0172388870927881,0.143375904117081,0.106372737994283,"Cep135",1
"GO:0046886","BP","GO:0046886","positive regulation of hormone biosynthetic process","1/36","14/29008",0.0172388870927881,0.143375904117081,0.106372737994283,"Igf1r",1
"GO:0006457","BP","GO:0006457","protein folding","2/36","163/29008",0.0174454383809251,0.143375904117081,0.106372737994283,"Dnajb11/Cct7",2
"GO:0001678","BP","GO:0001678","cellular glucose homeostasis","2/36","166/29008",0.0180536484744233,0.143375904117081,0.106372737994283,"Aacs/Igf1r",2
"GO:0007015","BP","GO:0007015","actin filament organization","3/36","453/29008",0.0184487431690484,0.143375904117081,0.106372737994283,"Tsc1/Casp4/Tnfaip1",3
"GO:0006264","BP","GO:0006264","mitochondrial DNA replication","1/36","15/29008",0.0184591188671086,0.143375904117081,0.106372737994283,"Rnaseh1",1
"GO:0032511","BP","GO:0032511","late endosome to vacuole transport via multivesicular body sorting pathway","1/36","15/29008",0.0184591188671086,0.143375904117081,0.106372737994283,"Chmp4c",1
"GO:0033690","BP","GO:0033690","positive regulation of osteoblast proliferation","1/36","15/29008",0.0184591188671086,0.143375904117081,0.106372737994283,"Igf1r",1
"GO:0045792","BP","GO:0045792","negative regulation of cell size","1/36","15/29008",0.0184591188671086,0.143375904117081,0.106372737994283,"Tsc1",1
"GO:0048680","BP","GO:0048680","positive regulation of axon regeneration","1/36","15/29008",0.0184591188671086,0.143375904117081,0.106372737994283,"Igf1r",1
"GO:1904814","BP","GO:1904814","regulation of protein localization to chromosome, telomeric region","1/36","15/29008",0.0184591188671086,0.143375904117081,0.106372737994283,"Cct7",1
"GO:0006694","BP","GO:0006694","steroid biosynthetic process","2/36","168/29008",0.0184640918924109,0.143375904117081,0.106372737994283,"Ebp/Igf1r",2
"GO:1901991","BP","GO:1901991","negative regulation of mitotic cell cycle phase transition","2/36","169/29008",0.0186707967090986,0.143375904117081,0.106372737994283,"Blm/Chmp4c",2
"GO:0051017","BP","GO:0051017","actin filament bundle assembly","2/36","172/29008",0.0192968121203309,0.143375904117081,0.106372737994283,"Tsc1/Tnfaip1",2
"GO:0007346","BP","GO:0007346","regulation of mitotic cell cycle","3/36","462/29008",0.0194253204077714,0.143375904117081,0.106372737994283,"Igf1r/Blm/Chmp4c",3
"GO:0030238","BP","GO:0030238","male sex determination","1/36","16/29008",0.0196778775923455,0.143375904117081,0.106372737994283,"Igf1r",1
"GO:0035358","BP","GO:0035358","regulation of peroxisome proliferator activated receptor signaling pathway","1/36","16/29008",0.0196778775923455,0.143375904117081,0.106372737994283,"Asxl1",1
"GO:0055057","BP","GO:0055057","neuroblast division","1/36","16/29008",0.0196778775923455,0.143375904117081,0.106372737994283,"Sox5",1
"GO:0070572","BP","GO:0070572","positive regulation of neuron projection regeneration","1/36","16/29008",0.0196778775923455,0.143375904117081,0.106372737994283,"Igf1r",1
"GO:1905168","BP","GO:1905168","positive regulation of double-strand break repair via homologous recombination","1/36","16/29008",0.0196778775923455,0.143375904117081,0.106372737994283,"Blm",1
"GO:0000075","BP","GO:0000075","cell cycle checkpoint signaling","2/36","175/29008",0.0199316241219202,0.143375904117081,0.106372737994283,"Blm/Chmp4c",2
"GO:0061572","BP","GO:0061572","actin filament bundle organization","2/36","175/29008",0.0199316241219202,0.143375904117081,0.106372737994283,"Tsc1/Tnfaip1",2
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","3/36","471/29008",0.0204302671496845,0.143375904117081,0.106372737994283,"Tsc1/Blm/Sox12",3
"GO:0051260","BP","GO:0051260","protein homooligomerization","2/36","178/29008",0.020575162504378,0.143375904117081,0.106372737994283,"Blm/Tnfaip1",2
"GO:0000729","BP","GO:0000729","DNA double-strand break processing","1/36","17/29008",0.020895164995997,0.143375904117081,0.106372737994283,"Blm",1
"GO:0001967","BP","GO:0001967","suckling behavior","1/36","17/29008",0.020895164995997,0.143375904117081,0.106372737994283,"Derl2",1
"GO:0018279","BP","GO:0018279","protein N-linked glycosylation via asparagine","1/36","17/29008",0.020895164995997,0.143375904117081,0.106372737994283,"Ddost",1
"GO:0061952","BP","GO:0061952","midbody abscission","1/36","17/29008",0.020895164995997,0.143375904117081,0.106372737994283,"Chmp4c",1
"GO:0070200","BP","GO:0070200","establishment of protein localization to telomere","1/36","17/29008",0.020895164995997,0.143375904117081,0.106372737994283,"Cct7",1
"GO:0070243","BP","GO:0070243","regulation of thymocyte apoptotic process","1/36","17/29008",0.020895164995997,0.143375904117081,0.106372737994283,"Blm",1
"GO:0071428","BP","GO:0071428","rRNA-containing ribonucleoprotein complex export from nucleus","1/36","17/29008",0.020895164995997,0.143375904117081,0.106372737994283,"Tsc1",1
"GO:0048732","BP","GO:0048732","gland development","3/36","477/29008",0.0211160165806566,0.143375904117081,0.106372737994283,"Aacs/Igf1r/Asxl1",3
"GO:0000910","BP","GO:0000910","cytokinesis","2/36","182/29008",0.0214466674034657,0.143375904117081,0.106372737994283,"Igf1r/Chmp4c",2
"GO:0018196","BP","GO:0018196","peptidyl-asparagine modification","1/36","18/29008",0.022110982803598,0.143375904117081,0.106372737994283,"Ddost",1
"GO:0061318","BP","GO:0061318","renal filtration cell differentiation","1/36","18/29008",0.022110982803598,0.143375904117081,0.106372737994283,"Asxl1",1
"GO:0072112","BP","GO:0072112","glomerular visceral epithelial cell differentiation","1/36","18/29008",0.022110982803598,0.143375904117081,0.106372737994283,"Asxl1",1
"GO:0072311","BP","GO:0072311","glomerular epithelial cell differentiation","1/36","18/29008",0.022110982803598,0.143375904117081,0.106372737994283,"Asxl1",1
"GO:1902176","BP","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","1/36","18/29008",0.022110982803598,0.143375904117081,0.106372737994283,"Nono",1
"GO:1902855","BP","GO:1902855","regulation of non-motile cilium assembly","1/36","18/29008",0.022110982803598,0.143375904117081,0.106372737994283,"Cep135",1
"GO:0009749","BP","GO:0009749","response to glucose","2/36","186/29008",0.0223333972594079,0.143407601282474,0.10639625459765,"Aacs/Igf1r",2
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation","3/36","489/29008",0.0225254482204837,0.143407601282474,0.10639625459765,"Tsc1/Blm/Sox12",3
"GO:0009746","BP","GO:0009746","response to hexose","2/36","189/29008",0.0230083377326835,0.143407601282474,0.10639625459765,"Aacs/Igf1r",2
"GO:0034284","BP","GO:0034284","response to monosaccharide","2/36","190/29008",0.0232351887430028,0.143407601282474,0.10639625459765,"Aacs/Igf1r",2
"GO:0010623","BP","GO:0010623","programmed cell death involved in cell development","1/36","19/29008",0.0233253327387156,0.143407601282474,0.10639625459765,"Casp4",1
"GO:0097284","BP","GO:0097284","hepatocyte apoptotic process","1/36","19/29008",0.0233253327387156,0.143407601282474,0.10639625459765,"Igf1r",1
"GO:1901673","BP","GO:1901673","regulation of mitotic spindle assembly","1/36","19/29008",0.0233253327387156,0.143407601282474,0.10639625459765,"Chmp4c",1
"GO:0015931","BP","GO:0015931","nucleobase-containing compound transport","2/36","195/29008",0.0243833615758488,0.144444820667059,0.107165783246962,"Slc35b1/Tsc1",2
"GO:0006336","BP","GO:0006336","DNA replication-independent nucleosome assembly","1/36","20/29008",0.0245382165229582,0.144444820667059,0.107165783246962,"Hat1",1
"GO:0043162","BP","GO:0043162","ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","1/36","20/29008",0.0245382165229582,0.144444820667059,0.107165783246962,"Vps37b",1
"GO:0045591","BP","GO:0045591","positive regulation of regulatory T cell differentiation","1/36","20/29008",0.0245382165229582,0.144444820667059,0.107165783246962,"Sox12",1
"GO:0072010","BP","GO:0072010","glomerular epithelium development","1/36","20/29008",0.0245382165229582,0.144444820667059,0.107165783246962,"Asxl1",1
"GO:0090030","BP","GO:0090030","regulation of steroid hormone biosynthetic process","1/36","20/29008",0.0245382165229582,0.144444820667059,0.107165783246962,"Igf1r",1
"GO:1902115","BP","GO:1902115","regulation of organelle assembly","2/36","199/29008",0.0253184505758672,0.147394467427979,0.109354170507759,"Chmp4c/Cep135",2
"GO:0001502","BP","GO:0001502","cartilage condensation","1/36","21/29008",0.0257496358759722,0.147394467427979,0.109354170507759,"Sox5",1
"GO:0032332","BP","GO:0032332","positive regulation of chondrocyte differentiation","1/36","21/29008",0.0257496358759722,0.147394467427979,0.109354170507759,"Sox5",1
"GO:0034724","BP","GO:0034724","DNA replication-independent nucleosome organization","1/36","21/29008",0.0257496358759722,0.147394467427979,0.109354170507759,"Hat1",1
"GO:0071103","BP","GO:0071103","DNA conformation change","2/36","203/29008",0.026268078397924,0.148188488661071,0.109943266793566,"Hat1/Blm",2
"GO:0009743","BP","GO:0009743","response to carbohydrate","2/36","204/29008",0.026507738454135,0.148188488661071,0.109943266793566,"Aacs/Igf1r",2
"GO:0006656","BP","GO:0006656","phosphatidylcholine biosynthetic process","1/36","22/29008",0.0269595925154479,0.148188488661071,0.109943266793566,"Cept1",1
"GO:0007035","BP","GO:0007035","vacuolar acidification","1/36","22/29008",0.0269595925154479,0.148188488661071,0.109943266793566,"Dmxl2",1
"GO:0008356","BP","GO:0008356","asymmetric cell division","1/36","22/29008",0.0269595925154479,0.148188488661071,0.109943266793566,"Sox5",1
"GO:0070242","BP","GO:0070242","thymocyte apoptotic process","1/36","22/29008",0.0269595925154479,0.148188488661071,0.109943266793566,"Blm",1
"GO:0031032","BP","GO:0031032","actomyosin structure organization","2/36","210/29008",0.0279644352603814,0.148914096626796,0.110481606248162,"Tsc1/Tnfaip1",2
"GO:0035357","BP","GO:0035357","peroxisome proliferator activated receptor signaling pathway","1/36","23/29008",0.0281680881571169,0.148914096626796,0.110481606248162,"Asxl1",1
"GO:0045056","BP","GO:0045056","transcytosis","1/36","23/29008",0.0281680881571169,0.148914096626796,0.110481606248162,"Igf1r",1
"GO:0046641","BP","GO:0046641","positive regulation of alpha-beta T cell proliferation","1/36","23/29008",0.0281680881571169,0.148914096626796,0.110481606248162,"Blm",1
"GO:0070861","BP","GO:0070861","regulation of protein exit from endoplasmic reticulum","1/36","23/29008",0.0281680881571169,0.148914096626796,0.110481606248162,"Derl2",1
"GO:1902410","BP","GO:1902410","mitotic cytokinetic process","1/36","23/29008",0.0281680881571169,0.148914096626796,0.110481606248162,"Chmp4c",1
"GO:0006691","BP","GO:0006691","leukotriene metabolic process","1/36","24/29008",0.0293751245147624,0.149974739748527,0.111268513320087,"Abcc10",1
"GO:0016578","BP","GO:0016578","histone deubiquitination","1/36","24/29008",0.0293751245147624,0.149974739748527,0.111268513320087,"Asxl1",1
"GO:0032352","BP","GO:0032352","positive regulation of hormone metabolic process","1/36","24/29008",0.0293751245147624,0.149974739748527,0.111268513320087,"Igf1r",1
"GO:0045324","BP","GO:0045324","late endosome to vacuole transport","1/36","24/29008",0.0293751245147624,0.149974739748527,0.111268513320087,"Chmp4c",1
"GO:2000738","BP","GO:2000738","positive regulation of stem cell differentiation","1/36","24/29008",0.0293751245147624,0.149974739748527,0.111268513320087,"Sox5",1
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","2/36","216/29008",0.0294528705771204,0.149974739748527,0.111268513320087,"Blm/Sox12",2
"GO:0006312","BP","GO:0006312","mitotic recombination","1/36","25/29008",0.0305807033002116,0.15198792658189,0.112762126887008,"Blm",1
"GO:0035024","BP","GO:0035024","negative regulation of Rho protein signal transduction","1/36","25/29008",0.0305807033002116,0.15198792658189,0.112762126887008,"Tnfaip1",1
"GO:0097062","BP","GO:0097062","dendritic spine maintenance","1/36","25/29008",0.0305807033002116,0.15198792658189,0.112762126887008,"Igf1r",1
"GO:0098743","BP","GO:0098743","cell aggregation","1/36","25/29008",0.0305807033002116,0.15198792658189,0.112762126887008,"Sox5",1
"GO:0030325","BP","GO:0030325","adrenal gland development","1/36","26/29008",0.0317848262233458,0.152493674944376,0.113137349197793,"Igf1r",1
"GO:0030970","BP","GO:0030970","retrograde protein transport, ER to cytosol","1/36","26/29008",0.0317848262233458,0.152493674944376,0.113137349197793,"Derl2",1
"GO:0046337","BP","GO:0046337","phosphatidylethanolamine metabolic process","1/36","26/29008",0.0317848262233458,0.152493674944376,0.113137349197793,"Cept1",1
"GO:0070199","BP","GO:0070199","establishment of protein localization to chromosome","1/36","26/29008",0.0317848262233458,0.152493674944376,0.113137349197793,"Cct7",1
"GO:0090169","BP","GO:0090169","regulation of spindle assembly","1/36","26/29008",0.0317848262233458,0.152493674944376,0.113137349197793,"Chmp4c",1
"GO:1903513","BP","GO:1903513","endoplasmic reticulum to cytosol transport","1/36","26/29008",0.0317848262233458,0.152493674944376,0.113137349197793,"Derl2",1
"GO:0071560","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","2/36","226/29008",0.0320027075136027,0.152562528974935,0.11318843303784,"Igf1r/Sox5",2
"GO:0010165","BP","GO:0010165","response to X-ray","1/36","27/29008",0.0329874949920975,0.152562528974935,0.11318843303784,"Blm",1
"GO:0032781","BP","GO:0032781","positive regulation of ATPase activity","1/36","27/29008",0.0329874949920975,0.152562528974935,0.11318843303784,"Dnajb11",1
"GO:0070233","BP","GO:0070233","negative regulation of T cell apoptotic process","1/36","27/29008",0.0329874949920975,0.152562528974935,0.11318843303784,"Blm",1
"GO:0071559","BP","GO:0071559","response to transforming growth factor beta","2/36","230/29008",0.0330463851737606,0.152562528974935,0.11318843303784,"Igf1r/Sox5",2
